"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getadmincredentialsforperson-request","getadmincredentialsforperson-request","getadmincredentialsforperson-request","","","",0,*,"","","","null {[]} {[]}
","GetAdminCredentialsForPerson — Request","Logisk modell för requestparametrar i GetAdminCredentialsForPerson.
Exakt ett av fälten personHsaId och personalIdentityNumber ska anges.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getadmincredentialsforperson-request","getadmincredentialsforperson-request.personHsaId","getadmincredentialsforperson-request.personHsaId","","","",0,1,"","","","string {[]} {[]}
","Unik identifierare för personen vars behörighetsegenskaper söks ut","Unik identifierare för personen vars behörighetsegenskaper söks ut","","","","","","","","","",,,,,"",,,,"getadmincredentialsforperson-request.personHsaId",0,1,"",""
"getadmincredentialsforperson-request","getadmincredentialsforperson-request.personalIdentityNumber","getadmincredentialsforperson-request.personalIdentityNumber","","","",0,1,"","","","string {[]} {[]}
","Person-id för personen vars behörighetsegenskaper söks ut","Person-id för personen vars behörighetsegenskaper söks ut","","","","","","","","","",,,,,"",,,,"getadmincredentialsforperson-request.personalIdentityNumber",0,1,"",""
"getadmincredentialsforperson-request","getadmincredentialsforperson-request.authorizationScopeCode","getadmincredentialsforperson-request.authorizationScopeCode","","","",0,1,"","","","string {[]} {[]}
","Behörighetsområdeskod att filtrera på","Behörighetsområdeskod att filtrera på","","","","","","","","","",,,,,"",,,,"getadmincredentialsforperson-request.authorizationScopeCode",0,1,"",""
"getadmincredentialsforperson-request","getadmincredentialsforperson-request.authorizationScopePropertyCode","getadmincredentialsforperson-request.authorizationScopePropertyCode","","","",0,1,"","","","string {[]} {[]}
","Kod för behörighetsområdesegenskap att filtrera på","Kod för behörighetsområdesegenskap att filtrera på","","","","","","","","","",,,,,"",,,,"getadmincredentialsforperson-request.authorizationScopePropertyCode",0,1,"",""
"getadmincredentialsforperson-request","getadmincredentialsforperson-request.searchBase","getadmincredentialsforperson-request.searchBase","","","",0,1,"","","","string {[]} {[]}
","Sökbas (DN). Om ej angiven används c=SE.","Sökbas (DN). Om ej angiven används c=SE.","","","","","","","","","",,,,,"",,,,"getadmincredentialsforperson-request.searchBase",0,1,"",""
"getadmincredentialsforperson-request","getadmincredentialsforperson-request.includeFeignedObject","getadmincredentialsforperson-request.includeFeignedObject","","","",0,1,"","","","boolean {[]} {[]}
","true: leverera svar med fingerade objekt","true: leverera svar med fingerade objekt","","","","","","","","","",,,,,"",,,,"getadmincredentialsforperson-request.includeFeignedObject",0,1,"",""
"getadmincredentialsforperson","getadmincredentialsforperson","getadmincredentialsforperson","","","",0,*,"","","","null {[]} {[]}
","GetAdminCredentialsForPerson","Logisk modell för tjänstekontraktet GetAdminCredentialsForPerson
(RIV-TA urn:riv:infrastructure:directory:authorizationmanagement:GetAdminCredentialsForPerson:2).
Identisk med GetAdminCredentialsForPersonIncludingProtectedPerson förutom att skyddade
personer aldrig returneras (fältet protectedPerson returneras aldrig).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getadmincredentialsforperson","getadmincredentialsforperson.adminCredentialInformation","getadmincredentialsforperson.adminCredentialInformation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Administrativa behörighetsegenskaper för sökt person","Administrativa behörighetsegenskaper för sökt person","","","","","","","","","",,,,,"",,,,"getadmincredentialsforperson.adminCredentialInformation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getadmincredentialsforperson","getadmincredentialsforperson.adminCredentialInformation.id","getadmincredentialsforperson.adminCredentialInformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
