"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"kopplabarnkonto-request","kopplabarnkonto-request","","","",0,*,"","","","null {[]} {[]}
","KopplaBarnKonto — Request","Logisk modell för begäran i KopplaBarnKonto
(urn:riv:se.apotekensservice:pris:KopplaBarnKontoResponder:4, KopplaBarnKontoRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"kopplabarnkonto-request.argosHeader.befattningskod","kopplabarnkonto-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","befattningskod","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.argosHeader.befattningskod",0,1,"",""
"kopplabarnkonto-request.argosHeader.arbetsplatskod","kopplabarnkonto-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.argosHeader.arbetsplatskod",0,1,"",""
"kopplabarnkonto-request.argosHeader.arbetsplatsnamn","kopplabarnkonto-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.argosHeader.arbetsplatsnamn",0,1,"",""
"kopplabarnkonto-request.argosHeader.postort","kopplabarnkonto-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.argosHeader.postort",0,1,"",""
"kopplabarnkonto-request.argosHeader.postadress","kopplabarnkonto-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.argosHeader.postadress",0,1,"",""
"kopplabarnkonto-request.argosHeader.postnummer","kopplabarnkonto-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.argosHeader.postnummer",0,1,"",""
"kopplabarnkonto-request.argosHeader.telefonnummer","kopplabarnkonto-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.argosHeader.telefonnummer",0,1,"",""
"kopplabarnkonto-request.argosHeader.requestId","kopplabarnkonto-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.argosHeader.requestId",0,1,"",""
"kopplabarnkonto-request.argosHeader.rollnamn","kopplabarnkonto-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.argosHeader.rollnamn",0,1,"",""
"kopplabarnkonto-request.argosHeader.hsaID","kopplabarnkonto-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.argosHeader.hsaID",0,1,"",""
"kopplabarnkonto-request.argosHeader.katalog","kopplabarnkonto-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.argosHeader.katalog",0,1,"",""
"kopplabarnkonto-request.argosHeader.organisationsnummer","kopplabarnkonto-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.argosHeader.organisationsnummer",0,1,"",""
"kopplabarnkonto-request.argosHeader.systemnamn","kopplabarnkonto-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.argosHeader.systemnamn",0,1,"",""
"kopplabarnkonto-request.argosHeader.systemversion","kopplabarnkonto-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.argosHeader.systemversion",0,1,"",""
"kopplabarnkonto-request.argosHeader.systemIp","kopplabarnkonto-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.argosHeader.systemIp",0,1,"",""
"kopplabarnkonto-request.huvudPersNr","kopplabarnkonto-request.huvudPersNr","","","",0,1,"","","","string {[]} {[]}
","huvudPersNr","Personnummer för huvudperson (Förmånsmottagare). Anges ej om barnkontot ska kopplas bort från samlingskontot.","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.huvudPersNr",0,1,"",""
"kopplabarnkonto-request.klientinformation","kopplabarnkonto-request.klientinformation","","","",1,1,"","","","BackboneElement {[]} {[]}
","klientinformation","Objekt innehållande information om anropande klientsystem.","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.klientinformation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"kopplabarnkonto-request.klientinformation.id","kopplabarnkonto-request.klientinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"kopplabarnkonto-request.klientinformation.extension","kopplabarnkonto-request.klientinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"kopplabarnkonto-request.klientinformation.modifierExtension","kopplabarnkonto-request.klientinformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"kopplabarnkonto-request.klientinformation.anvandare","kopplabarnkonto-request.klientinformation.anvandare","","","",1,1,"","","","string {[]} {[]}
","anvandare","Unikt användarid i anropande system.","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.klientinformation.anvandare",1,1,"",""
"kopplabarnkonto-request.klientinformation.session","kopplabarnkonto-request.klientinformation.session","","","",1,1,"","","","string {[]} {[]}
","session","Sessionens id i anropande system.","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.klientinformation.session",1,1,"",""
"kopplabarnkonto-request.klientinformation.system","kopplabarnkonto-request.klientinformation.system","","","",1,1,"","","","string {[]} {[]}
","system","GLN-kod för anropande system.","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.klientinformation.system",1,1,"",""
"kopplabarnkonto-request.persNr","kopplabarnkonto-request.persNr","","","",1,1,"","","","string {[]} {[]}
","persNr","Personnummer för den vars konto ska uppdateras.","","","","","","","","","",,,,,"",,,,"kopplabarnkonto-request.persNr",1,1,"",""
