"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"kontrolleraforman-request","kontrolleraforman-request","","","",0,*,"","","","null {[]} {[]}
","KontrolleraForman — Request","Logisk modell för begäran i KontrolleraForman
(urn:riv:se.apotekensservice:pris:KontrolleraFormanResponder:1, KontrolleraFormanRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"kontrolleraforman-request.argosHeader.befattningskod","kontrolleraforman-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","befattningskod","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.argosHeader.befattningskod",0,1,"",""
"kontrolleraforman-request.argosHeader.arbetsplatskod","kontrolleraforman-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.argosHeader.arbetsplatskod",0,1,"",""
"kontrolleraforman-request.argosHeader.arbetsplatsnamn","kontrolleraforman-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.argosHeader.arbetsplatsnamn",0,1,"",""
"kontrolleraforman-request.argosHeader.postort","kontrolleraforman-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.argosHeader.postort",0,1,"",""
"kontrolleraforman-request.argosHeader.postadress","kontrolleraforman-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.argosHeader.postadress",0,1,"",""
"kontrolleraforman-request.argosHeader.postnummer","kontrolleraforman-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.argosHeader.postnummer",0,1,"",""
"kontrolleraforman-request.argosHeader.telefonnummer","kontrolleraforman-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.argosHeader.telefonnummer",0,1,"",""
"kontrolleraforman-request.argosHeader.requestId","kontrolleraforman-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.argosHeader.requestId",0,1,"",""
"kontrolleraforman-request.argosHeader.rollnamn","kontrolleraforman-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.argosHeader.rollnamn",0,1,"",""
"kontrolleraforman-request.argosHeader.hsaID","kontrolleraforman-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.argosHeader.hsaID",0,1,"",""
"kontrolleraforman-request.argosHeader.katalog","kontrolleraforman-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.argosHeader.katalog",0,1,"",""
"kontrolleraforman-request.argosHeader.organisationsnummer","kontrolleraforman-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.argosHeader.organisationsnummer",0,1,"",""
"kontrolleraforman-request.argosHeader.systemnamn","kontrolleraforman-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.argosHeader.systemnamn",0,1,"",""
"kontrolleraforman-request.argosHeader.systemversion","kontrolleraforman-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.argosHeader.systemversion",0,1,"",""
"kontrolleraforman-request.argosHeader.systemIp","kontrolleraforman-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.argosHeader.systemIp",0,1,"",""
"kontrolleraforman-request.artikelIdLista","kontrolleraforman-request.artikelIdLista","","","",1,*,"","","","BackboneElement {[]} {[]}
","artikelIdLista","Artikel - Endast ett id per artikel","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.artikelIdLista",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"kontrolleraforman-request.artikelIdLista.id","kontrolleraforman-request.artikelIdLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"kontrolleraforman-request.artikelIdLista.extension","kontrolleraforman-request.artikelIdLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"kontrolleraforman-request.artikelIdLista.modifierExtension","kontrolleraforman-request.artikelIdLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"kontrolleraforman-request.artikelIdLista.gtin","kontrolleraforman-request.artikelIdLista.gtin","","","",0,1,"","","","string {[]} {[]}
","gtin","GTIN-kod","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.artikelIdLista.gtin",0,1,"",""
"kontrolleraforman-request.artikelIdLista.nplPackageId","kontrolleraforman-request.artikelIdLista.nplPackageId","","","",0,1,"","","","string {[]} {[]}
","nplPackageId","Förpackningsid från Nationellt Produktregister för Läkemedel Unikt id för LM-artikel","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.artikelIdLista.nplPackageId",0,1,"",""
"kontrolleraforman-request.artikelIdLista.varunr","kontrolleraforman-request.artikelIdLista.varunr","","","",0,1,"","","","string {[]} {[]}
","varunr","Nordiskt varunummer Unik för handelsvaror. För läkemedel kan dubletter förekomma vid parallellimport","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.artikelIdLista.varunr",0,1,"",""
"kontrolleraforman-request.klientinformation","kontrolleraforman-request.klientinformation","","","",1,1,"","","","BackboneElement {[]} {[]}
","klientinformation","Objekt innehållande information om anropande klientsystem.","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.klientinformation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"kontrolleraforman-request.klientinformation.id","kontrolleraforman-request.klientinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"kontrolleraforman-request.klientinformation.extension","kontrolleraforman-request.klientinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"kontrolleraforman-request.klientinformation.modifierExtension","kontrolleraforman-request.klientinformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"kontrolleraforman-request.klientinformation.anvandare","kontrolleraforman-request.klientinformation.anvandare","","","",1,1,"","","","string {[]} {[]}
","anvandare","Unikt användarid i anropande system.","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.klientinformation.anvandare",1,1,"",""
"kontrolleraforman-request.klientinformation.session","kontrolleraforman-request.klientinformation.session","","","",1,1,"","","","string {[]} {[]}
","session","Sessionens id i anropande system.","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.klientinformation.session",1,1,"",""
"kontrolleraforman-request.klientinformation.system","kontrolleraforman-request.klientinformation.system","","","",1,1,"","","","string {[]} {[]}
","system","GLN-kod för anropande system.","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.klientinformation.system",1,1,"",""
"kontrolleraforman-request.fodelsedatum","kontrolleraforman-request.fodelsedatum","","","",0,1,"","","","string {[]} {[]}
","fodelsedatum","Födelsedatum. Anges på formen yyyymmdd. Används vid framtagning av förmånskod när varan är preventivmedel med förmånskod R. Om personen är under 21 år blir förmånskoden F för dessa varor. Gäller när lagen om gratis preventivmedel för personer under 21 år trätt i kraft. (Refererat element ur KontrolleraFormanResponder_1_ext_1.0.xsd, namnrymd urn:riv:se.apotekensservice:pris:KontrolleraFormanResponder:1:ext:1.)","","","","","","","","","",,,,,"",,,,"kontrolleraforman-request.fodelsedatum",0,1,"",""
