"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtabarn-request","hamtabarn-request","","","",0,*,"","","","null {[]} {[]}
","HamtaBarn — Request","Logisk modell för begäran i HamtaBarn
(urn:riv:se.apotekensservice:pris:HamtaBarnResponder:1, HamtaBarnRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtabarn-request.argosHeader.befattningskod","hamtabarn-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","befattningskod","","","","","","","","","",,,,,"",,,,"hamtabarn-request.argosHeader.befattningskod",0,1,"",""
"hamtabarn-request.argosHeader.arbetsplatskod","hamtabarn-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"hamtabarn-request.argosHeader.arbetsplatskod",0,1,"",""
"hamtabarn-request.argosHeader.arbetsplatsnamn","hamtabarn-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"hamtabarn-request.argosHeader.arbetsplatsnamn",0,1,"",""
"hamtabarn-request.argosHeader.postort","hamtabarn-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"hamtabarn-request.argosHeader.postort",0,1,"",""
"hamtabarn-request.argosHeader.postadress","hamtabarn-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"hamtabarn-request.argosHeader.postadress",0,1,"",""
"hamtabarn-request.argosHeader.postnummer","hamtabarn-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"hamtabarn-request.argosHeader.postnummer",0,1,"",""
"hamtabarn-request.argosHeader.telefonnummer","hamtabarn-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"hamtabarn-request.argosHeader.telefonnummer",0,1,"",""
"hamtabarn-request.argosHeader.requestId","hamtabarn-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"hamtabarn-request.argosHeader.requestId",0,1,"",""
"hamtabarn-request.argosHeader.rollnamn","hamtabarn-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"hamtabarn-request.argosHeader.rollnamn",0,1,"",""
"hamtabarn-request.argosHeader.hsaID","hamtabarn-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"hamtabarn-request.argosHeader.hsaID",0,1,"",""
"hamtabarn-request.argosHeader.katalog","hamtabarn-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"hamtabarn-request.argosHeader.katalog",0,1,"",""
"hamtabarn-request.argosHeader.organisationsnummer","hamtabarn-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"hamtabarn-request.argosHeader.organisationsnummer",0,1,"",""
"hamtabarn-request.argosHeader.systemnamn","hamtabarn-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"hamtabarn-request.argosHeader.systemnamn",0,1,"",""
"hamtabarn-request.argosHeader.systemversion","hamtabarn-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"hamtabarn-request.argosHeader.systemversion",0,1,"",""
"hamtabarn-request.argosHeader.systemIp","hamtabarn-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"hamtabarn-request.argosHeader.systemIp",0,1,"",""
"hamtabarn-request.huvudPersNr","hamtabarn-request.huvudPersNr","","","",1,1,"","","","string {[]} {[]}
","huvudPersNr","Personnummer för huvudperson (vårdnadshavare).","","","","","","","","","",,,,,"",,,,"hamtabarn-request.huvudPersNr",1,1,"",""
"hamtabarn-request.klientinformation","hamtabarn-request.klientinformation","","","",1,1,"","","","BackboneElement {[]} {[]}
","klientinformation","Objekt innehållande information om anropande klientsystem.","","","","","","","","","",,,,,"",,,,"hamtabarn-request.klientinformation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtabarn-request.klientinformation.id","hamtabarn-request.klientinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtabarn-request.klientinformation.extension","hamtabarn-request.klientinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtabarn-request.klientinformation.modifierExtension","hamtabarn-request.klientinformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtabarn-request.klientinformation.anvandare","hamtabarn-request.klientinformation.anvandare","","","",1,1,"","","","string {[]} {[]}
","anvandare","Unikt användarid i anropande system.","","","","","","","","","",,,,,"",,,,"hamtabarn-request.klientinformation.anvandare",1,1,"",""
"hamtabarn-request.klientinformation.session","hamtabarn-request.klientinformation.session","","","",1,1,"","","","string {[]} {[]}
","session","Sessionens id i anropande system.","","","","","","","","","",,,,,"",,,,"hamtabarn-request.klientinformation.session",1,1,"",""
"hamtabarn-request.klientinformation.system","hamtabarn-request.klientinformation.system","","","",1,1,"","","","string {[]} {[]}
","system","GLN-kod för anropande system.","","","","","","","","","",,,,,"",,,,"hamtabarn-request.klientinformation.system",1,1,"",""
