"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtahkdbtransaktionerwebb-request","hamtahkdbtransaktionerwebb-request","","","",0,*,"","","","null {[]} {[]}
","HamtaHkdbTransaktionerWebb — Request","Logisk modell för begäran i HamtaHkdbTransaktionerWebb
(urn:riv:se.apotekensservice:pris:HamtaHkdbTransaktionerWebbResponder:1, HamtaHkdbTransaktionerWebbRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtahkdbtransaktionerwebb-request.argosHeader.befattningskod","hamtahkdbtransaktionerwebb-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","befattningskod","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.argosHeader.befattningskod",0,1,"",""
"hamtahkdbtransaktionerwebb-request.argosHeader.arbetsplatskod","hamtahkdbtransaktionerwebb-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.argosHeader.arbetsplatskod",0,1,"",""
"hamtahkdbtransaktionerwebb-request.argosHeader.arbetsplatsnamn","hamtahkdbtransaktionerwebb-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.argosHeader.arbetsplatsnamn",0,1,"",""
"hamtahkdbtransaktionerwebb-request.argosHeader.postort","hamtahkdbtransaktionerwebb-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.argosHeader.postort",0,1,"",""
"hamtahkdbtransaktionerwebb-request.argosHeader.postadress","hamtahkdbtransaktionerwebb-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.argosHeader.postadress",0,1,"",""
"hamtahkdbtransaktionerwebb-request.argosHeader.postnummer","hamtahkdbtransaktionerwebb-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.argosHeader.postnummer",0,1,"",""
"hamtahkdbtransaktionerwebb-request.argosHeader.telefonnummer","hamtahkdbtransaktionerwebb-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.argosHeader.telefonnummer",0,1,"",""
"hamtahkdbtransaktionerwebb-request.argosHeader.requestId","hamtahkdbtransaktionerwebb-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.argosHeader.requestId",0,1,"",""
"hamtahkdbtransaktionerwebb-request.argosHeader.rollnamn","hamtahkdbtransaktionerwebb-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.argosHeader.rollnamn",0,1,"",""
"hamtahkdbtransaktionerwebb-request.argosHeader.hsaID","hamtahkdbtransaktionerwebb-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.argosHeader.hsaID",0,1,"",""
"hamtahkdbtransaktionerwebb-request.argosHeader.katalog","hamtahkdbtransaktionerwebb-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.argosHeader.katalog",0,1,"",""
"hamtahkdbtransaktionerwebb-request.argosHeader.organisationsnummer","hamtahkdbtransaktionerwebb-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.argosHeader.organisationsnummer",0,1,"",""
"hamtahkdbtransaktionerwebb-request.argosHeader.systemnamn","hamtahkdbtransaktionerwebb-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.argosHeader.systemnamn",0,1,"",""
"hamtahkdbtransaktionerwebb-request.argosHeader.systemversion","hamtahkdbtransaktionerwebb-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.argosHeader.systemversion",0,1,"",""
"hamtahkdbtransaktionerwebb-request.argosHeader.systemIp","hamtahkdbtransaktionerwebb-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.argosHeader.systemIp",0,1,"",""
"hamtahkdbtransaktionerwebb-request.klientinformation","hamtahkdbtransaktionerwebb-request.klientinformation","","","",1,1,"","","","BackboneElement {[]} {[]}
","klientinformation","Objekt innehållande information om anropande klientsystem.","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.klientinformation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtahkdbtransaktionerwebb-request.klientinformation.id","hamtahkdbtransaktionerwebb-request.klientinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtahkdbtransaktionerwebb-request.klientinformation.extension","hamtahkdbtransaktionerwebb-request.klientinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtahkdbtransaktionerwebb-request.klientinformation.modifierExtension","hamtahkdbtransaktionerwebb-request.klientinformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtahkdbtransaktionerwebb-request.klientinformation.anvandare","hamtahkdbtransaktionerwebb-request.klientinformation.anvandare","","","",1,1,"","","","string {[]} {[]}
","anvandare","Unikt användarid i anropande system.","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.klientinformation.anvandare",1,1,"",""
"hamtahkdbtransaktionerwebb-request.klientinformation.session","hamtahkdbtransaktionerwebb-request.klientinformation.session","","","",1,1,"","","","string {[]} {[]}
","session","Sessionens id i anropande system.","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.klientinformation.session",1,1,"",""
"hamtahkdbtransaktionerwebb-request.klientinformation.system","hamtahkdbtransaktionerwebb-request.klientinformation.system","","","",1,1,"","","","string {[]} {[]}
","system","GLN-kod för anropande system.","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.klientinformation.system",1,1,"",""
"hamtahkdbtransaktionerwebb-request.persNr","hamtahkdbtransaktionerwebb-request.persNr","","","",1,1,"","","","string {[]} {[]}
","persNr","Personnummer för den som sökningen gäller.","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktionerwebb-request.persNr",1,1,"",""
