"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtameddelanden-request.Behorighetsinformation.yrkeskod","hamtameddelanden-request.Behorighetsinformation.yrkeskod","","","",0,1,"","","","code {[]} {[]}
","yrkeskod","yrkeskod","","","","","","","","","",,"required","","https://fhir.inera.se/ig/druglogistics-dosedispensing/ValueSet/dosedispensing-yrkeskod-vs","",,,,"hamtameddelanden-request.Behorighetsinformation.yrkeskod",0,1,"",""
"hamtameddelanden-request.Behorighetsinformation.arbetsplatskod","hamtameddelanden-request.Behorighetsinformation.arbetsplatskod","","","",1,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Behorighetsinformation.arbetsplatskod",1,1,"",""
"hamtameddelanden-request.Behorighetsinformation.hsaid","hamtameddelanden-request.Behorighetsinformation.hsaid","","","",0,1,"","","","string {[]} {[]}
","hsaid","hsaid","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Behorighetsinformation.hsaid",0,1,"",""
"hamtameddelanden-request.Behorighetsinformation.personnummer","hamtameddelanden-request.Behorighetsinformation.personnummer","","","",0,1,"","","","string {[]} {[]}
","personnummer","personnummer","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Behorighetsinformation.personnummer",0,1,"",""
"hamtameddelanden-request.Behorighetsinformation.organisationsnummer","hamtameddelanden-request.Behorighetsinformation.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Behorighetsinformation.organisationsnummer",0,1,"",""
"hamtameddelanden-request.Meddelandenutval","hamtameddelanden-request.Meddelandenutval","","","",1,1,"","","","BackboneElement {[]} {[]}
","Meddelandenutval","Meddelandenutval","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Meddelandenutval",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtameddelanden-request.Meddelandenutval.id","hamtameddelanden-request.Meddelandenutval.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtameddelanden-request.Meddelandenutval.extension","hamtameddelanden-request.Meddelandenutval.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtameddelanden-request.Meddelandenutval.modifierExtension","hamtameddelanden-request.Meddelandenutval.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtameddelanden-request.Meddelandenutval.Meddelandetyp","hamtameddelanden-request.Meddelandenutval.Meddelandetyp","","","",1,1,"","","","code {[]} {[]}
","Meddelandetyp","Meddelandetyp","","","","","","","","","",,"required","","https://fhir.inera.se/ig/druglogistics-dosedispensing/ValueSet/dosedispensing-meddelandetyp-vs","",,,,"hamtameddelanden-request.Meddelandenutval.Meddelandetyp",1,1,"",""
"hamtameddelanden-request.Meddelandenutval.Patientinformation","hamtameddelanden-request.Meddelandenutval.Patientinformation","","","",0,1,"","","","BackboneElement {[]} {[]}
","Patientinformation","Patientinformation","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Meddelandenutval.Patientinformation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtameddelanden-request.Meddelandenutval.Patientinformation.id","hamtameddelanden-request.Meddelandenutval.Patientinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtameddelanden-request.Meddelandenutval.Patientinformation.extension","hamtameddelanden-request.Meddelandenutval.Patientinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtameddelanden-request.Meddelandenutval.Patientinformation.modifierExtension","hamtameddelanden-request.Meddelandenutval.Patientinformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtameddelanden-request.Meddelandenutval.Patientinformation.fornamn","hamtameddelanden-request.Meddelandenutval.Patientinformation.fornamn","","","",1,1,"","","","string {[]} {[]}
","fornamn","Anvandarens fornamn.","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Meddelandenutval.Patientinformation.fornamn",1,1,"",""
"hamtameddelanden-request.Meddelandenutval.Patientinformation.mellannamn","hamtameddelanden-request.Meddelandenutval.Patientinformation.mellannamn","","","",0,1,"","","","string {[]} {[]}
","mellannamn","Anvandarens mellanamn.","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Meddelandenutval.Patientinformation.mellannamn",0,1,"",""
"hamtameddelanden-request.Meddelandenutval.Patientinformation.efternamn","hamtameddelanden-request.Meddelandenutval.Patientinformation.efternamn","","","",1,1,"","","","string {[]} {[]}
","efternamn","Anvandarens efternamn.","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Meddelandenutval.Patientinformation.efternamn",1,1,"",""
"hamtameddelanden-request.Meddelandenutval.Patientinformation.identitetstyp","hamtameddelanden-request.Meddelandenutval.Patientinformation.identitetstyp","","","",1,1,"","","","code {[]} {[]}
","identitetstyp","identitetstyp","","","","","","","","","",,"required","","https://fhir.inera.se/ig/druglogistics-dosedispensing/ValueSet/dosedispensing-identitetstyp-vs","",,,,"hamtameddelanden-request.Meddelandenutval.Patientinformation.identitetstyp",1,1,"",""
"hamtameddelanden-request.Meddelandenutval.Patientinformation.personid","hamtameddelanden-request.Meddelandenutval.Patientinformation.personid","","","",1,1,"","","","string {[]} {[]}
","personid","Anvandarens personid","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Meddelandenutval.Patientinformation.personid",1,1,"",""
"hamtameddelanden-request.Meddelandenutval.Patientinformation.lanskod","hamtameddelanden-request.Meddelandenutval.Patientinformation.lanskod","","","",0,1,"","","","string {[]} {[]}
","lanskod","Anvandarens folkbokforda lanskod","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Meddelandenutval.Patientinformation.lanskod",0,1,"",""
"hamtameddelanden-request.Meddelandenutval.Patientinformation.kommunkod","hamtameddelanden-request.Meddelandenutval.Patientinformation.kommunkod","","","",0,1,"","","","string {[]} {[]}
","kommunkod","Anvandarens folkbokforda kommunkod","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Meddelandenutval.Patientinformation.kommunkod",0,1,"",""
"hamtameddelanden-request.Meddelandenutval.meddelandeid","hamtameddelanden-request.Meddelandenutval.meddelandeid","","","",0,1,"","","","string {[]} {[]}
","meddelandeid","meddelandeid","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Meddelandenutval.meddelandeid",0,1,"",""
"hamtameddelanden-request.Meddelandenutval.meddelandestatus","hamtameddelanden-request.Meddelandenutval.meddelandestatus","","","",0,1,"","","","code {[]} {[]}
","meddelandestatus","meddelandestatus","","","","","","","","","",,"required","","https://fhir.inera.se/ig/druglogistics-dosedispensing/ValueSet/dosedispensing-meddelandestatus-vs","",,,,"hamtameddelanden-request.Meddelandenutval.meddelandestatus",0,1,"",""
"hamtameddelanden-request.Meddelandenutval.ordinationsid","hamtameddelanden-request.Meddelandenutval.ordinationsid","","","",0,1,"","","","string {[]} {[]}
","ordinationsid","ordinationsid","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Meddelandenutval.ordinationsid",0,1,"",""
"hamtameddelanden-request.Meddelandenutval.vardgivarespersonid","hamtameddelanden-request.Meddelandenutval.vardgivarespersonid","","","",0,1,"","","","string {[]} {[]}
","vardgivarespersonid","vardgivarespersonid","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Meddelandenutval.vardgivarespersonid",0,1,"",""
"hamtameddelanden-request.Meddelandenutval.forskrivarkod","hamtameddelanden-request.Meddelandenutval.forskrivarkod","","","",0,1,"","","","string {[]} {[]}
","forskrivarkod","forskrivarkod","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Meddelandenutval.forskrivarkod",0,1,"",""
"hamtameddelanden-request.Meddelandenutval.frantid","hamtameddelanden-request.Meddelandenutval.frantid","","","",0,1,"","","","dateTime {[]} {[]}
","frantid","frantid","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Meddelandenutval.frantid",0,1,"",""
"hamtameddelanden-request.Meddelandenutval.tilltid","hamtameddelanden-request.Meddelandenutval.tilltid","","","",0,1,"","","","dateTime {[]} {[]}
","tilltid","tilltid","","","","","","","","","",,,,,"",,,,"hamtameddelanden-request.Meddelandenutval.tilltid",0,1,"",""
