"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaorginalforpackning.Bestallningsrader.Patientinformation","hamtaorginalforpackning.Bestallningsrader.Patientinformation","","","",1,1,"","","","BackboneElement {[]} {[]}
","Patientinformation","Patientinformation","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.Patientinformation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaorginalforpackning.Bestallningsrader.Patientinformation.id","hamtaorginalforpackning.Bestallningsrader.Patientinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaorginalforpackning.Bestallningsrader.Patientinformation.extension","hamtaorginalforpackning.Bestallningsrader.Patientinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaorginalforpackning.Bestallningsrader.Patientinformation.modifierExtension","hamtaorginalforpackning.Bestallningsrader.Patientinformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaorginalforpackning.Bestallningsrader.Patientinformation.fornamn","hamtaorginalforpackning.Bestallningsrader.Patientinformation.fornamn","","","",1,1,"","","","string {[]} {[]}
","fornamn","Anvandarens fornamn.","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.Patientinformation.fornamn",1,1,"",""
"hamtaorginalforpackning.Bestallningsrader.Patientinformation.mellannamn","hamtaorginalforpackning.Bestallningsrader.Patientinformation.mellannamn","","","",0,1,"","","","string {[]} {[]}
","mellannamn","Anvandarens mellanamn.","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.Patientinformation.mellannamn",0,1,"",""
"hamtaorginalforpackning.Bestallningsrader.Patientinformation.efternamn","hamtaorginalforpackning.Bestallningsrader.Patientinformation.efternamn","","","",1,1,"","","","string {[]} {[]}
","efternamn","Anvandarens efternamn.","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.Patientinformation.efternamn",1,1,"",""
"hamtaorginalforpackning.Bestallningsrader.Patientinformation.identitetstyp","hamtaorginalforpackning.Bestallningsrader.Patientinformation.identitetstyp","","","",1,1,"","","","code {[]} {[]}
","identitetstyp","identitetstyp","","","","","","","","","",,"required","","https://fhir.inera.se/ig/druglogistics-dosedispensing/ValueSet/dosedispensing-identitetstyp-vs","",,,,"hamtaorginalforpackning.Bestallningsrader.Patientinformation.identitetstyp",1,1,"",""
"hamtaorginalforpackning.Bestallningsrader.Patientinformation.personid","hamtaorginalforpackning.Bestallningsrader.Patientinformation.personid","","","",1,1,"","","","string {[]} {[]}
","personid","Anvandarens personid","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.Patientinformation.personid",1,1,"",""
"hamtaorginalforpackning.Bestallningsrader.Patientinformation.lanskod","hamtaorginalforpackning.Bestallningsrader.Patientinformation.lanskod","","","",0,1,"","","","string {[]} {[]}
","lanskod","Anvandarens folkbokforda lanskod","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.Patientinformation.lanskod",0,1,"",""
"hamtaorginalforpackning.Bestallningsrader.Patientinformation.kommunkod","hamtaorginalforpackning.Bestallningsrader.Patientinformation.kommunkod","","","",0,1,"","","","string {[]} {[]}
","kommunkod","Anvandarens folkbokforda kommunkod","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.Patientinformation.kommunkod",0,1,"",""
"hamtaorginalforpackning.Bestallningsrader.NPLpackid","hamtaorginalforpackning.Bestallningsrader.NPLpackid","","","",0,1,"","","","string {[]} {[]}
","NPLpackid","NPLpackid","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.NPLpackid",0,1,"",""
"hamtaorginalforpackning.Bestallningsrader.varunummer","hamtaorginalforpackning.Bestallningsrader.varunummer","","","",0,1,"","","","string {[]} {[]}
","varunummer","varunummer","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.varunummer",0,1,"",""
"hamtaorginalforpackning.Bestallningsrader.receptid","hamtaorginalforpackning.Bestallningsrader.receptid","","","",0,1,"","","","string {[]} {[]}
","receptid","receptid","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.receptid",0,1,"",""
"hamtaorginalforpackning.Bestallningsrader.ordinationsid","hamtaorginalforpackning.Bestallningsrader.ordinationsid","","","",1,1,"","","","string {[]} {[]}
","ordinationsid","ordinationsid","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.ordinationsid",1,1,"",""
"hamtaorginalforpackning.Bestallningsrader.dosunderlagsversion","hamtaorginalforpackning.Bestallningsrader.dosunderlagsversion","","","",0,1,"","","","string {[]} {[]}
","dosunderlagsversion","dosunderlagsversion","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.dosunderlagsversion",0,1,"",""
"hamtaorginalforpackning.Bestallningsrader.bestallningsresultat","hamtaorginalforpackning.Bestallningsrader.bestallningsresultat","","","",0,1,"","","","integer {[]} {[]}
","bestallningsresultat","bestallningsresultat","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.bestallningsresultat",0,1,"",""
"hamtaorginalforpackning.Bestallningsrader.bestallningsresultattext","hamtaorginalforpackning.Bestallningsrader.bestallningsresultattext","","","",0,1,"","","","string {[]} {[]}
","bestallningsresultattext","bestallningsresultattext","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.bestallningsresultattext",0,1,"",""
"hamtaorginalforpackning.Bestallningsrader.bestallningsstatus","hamtaorginalforpackning.Bestallningsrader.bestallningsstatus","","","",1,1,"","","","code {[]} {[]}
","bestallningsstatus","bestallningsstatus","","","","","","","","","",,"required","","https://fhir.inera.se/ig/druglogistics-dosedispensing/ValueSet/dosedispensing-bestallningsstatus-vs","",,,,"hamtaorginalforpackning.Bestallningsrader.bestallningsstatus",1,1,"",""
"hamtaorginalforpackning.Bestallningsrader.statustidpunkt","hamtaorginalforpackning.Bestallningsrader.statustidpunkt","","","",1,1,"","","","dateTime {[]} {[]}
","statustidpunkt","statustidpunkt","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.statustidpunkt",1,1,"",""
"hamtaorginalforpackning.Bestallningsrader.bestallningstatustext","hamtaorginalforpackning.Bestallningsrader.bestallningstatustext","","","",0,1,"","","","string {[]} {[]}
","bestallningstatustext","bestallningstatustext","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.bestallningstatustext",0,1,"",""
"hamtaorginalforpackning.Bestallningsrader.meddelandefranapotek","hamtaorginalforpackning.Bestallningsrader.meddelandefranapotek","","","",0,1,"","","","string {[]} {[]}
","meddelandefranapotek","meddelandefranapotek","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.meddelandefranapotek",0,1,"",""
"hamtaorginalforpackning.Bestallningsrader.onskadleveranstid","hamtaorginalforpackning.Bestallningsrader.onskadleveranstid","","","",0,1,"","","","dateTime {[]} {[]}
","onskadleveranstid","onskadleveranstid","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.onskadleveranstid",0,1,"",""
"hamtaorginalforpackning.Bestallningsrader.planeradleveranstid","hamtaorginalforpackning.Bestallningsrader.planeradleveranstid","","","",0,1,"","","","dateTime {[]} {[]}
","planeradleveranstid","planeradleveranstid","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.planeradleveranstid",0,1,"",""
"hamtaorginalforpackning.Bestallningsrader.dosmottagareid","hamtaorginalforpackning.Bestallningsrader.dosmottagareid","","","",0,1,"","","","string {[]} {[]}
","dosmottagareid","dosmottagareid","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.dosmottagareid",0,1,"",""
"hamtaorginalforpackning.Bestallningsrader.dosmottagarenamn","hamtaorginalforpackning.Bestallningsrader.dosmottagarenamn","","","",0,1,"","","","string {[]} {[]}
","dosmottagarenamn","dosmottagarenamn","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.dosmottagarenamn",0,1,"",""
"hamtaorginalforpackning.Bestallningsrader.bestallningstid","hamtaorginalforpackning.Bestallningsrader.bestallningstid","","","",0,1,"","","","dateTime {[]} {[]}
","bestallningstid","bestallningstid","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.bestallningstid",0,1,"",""
"hamtaorginalforpackning.Bestallningsrader.bestallarefornamn","hamtaorginalforpackning.Bestallningsrader.bestallarefornamn","","","",1,1,"","","","string {[]} {[]}
","bestallarefornamn","bestallarefornamn","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.bestallarefornamn",1,1,"",""
"hamtaorginalforpackning.Bestallningsrader.bestallareefternamn","hamtaorginalforpackning.Bestallningsrader.bestallareefternamn","","","",1,1,"","","","string {[]} {[]}
","bestallareefternamn","bestallareefternamn","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.bestallareefternamn",1,1,"",""
"hamtaorginalforpackning.Bestallningsrader.bestallarearbetsplats","hamtaorginalforpackning.Bestallningsrader.bestallarearbetsplats","","","",1,1,"","","","string {[]} {[]}
","bestallarearbetsplats","bestallarearbetsplats","","","","","","","","","",,,,,"",,,,"hamtaorginalforpackning.Bestallningsrader.bestallarearbetsplats",1,1,"",""
