"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"kontaktuppgifteruppdatera-request","kontaktuppgifteruppdatera-request","","","",0,*,"","","","null {[]} {[]}
","KontaktuppgifterUppdatera — Request","Logisk modell för begäran i KontaktuppgifterUppdatera
(urn:riv:se.apotekensservice:expo:KontaktuppgifterUppdateraResponder:5, KontaktuppgifterUppdateraRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"kontaktuppgifteruppdatera-request.argosHeader.befattningskod","kontaktuppgifteruppdatera-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","befattningskod","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.argosHeader.befattningskod",0,1,"",""
"kontaktuppgifteruppdatera-request.argosHeader.arbetsplatskod","kontaktuppgifteruppdatera-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.argosHeader.arbetsplatskod",0,1,"",""
"kontaktuppgifteruppdatera-request.argosHeader.arbetsplatsnamn","kontaktuppgifteruppdatera-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.argosHeader.arbetsplatsnamn",0,1,"",""
"kontaktuppgifteruppdatera-request.argosHeader.postort","kontaktuppgifteruppdatera-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.argosHeader.postort",0,1,"",""
"kontaktuppgifteruppdatera-request.argosHeader.postadress","kontaktuppgifteruppdatera-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.argosHeader.postadress",0,1,"",""
"kontaktuppgifteruppdatera-request.argosHeader.postnummer","kontaktuppgifteruppdatera-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.argosHeader.postnummer",0,1,"",""
"kontaktuppgifteruppdatera-request.argosHeader.telefonnummer","kontaktuppgifteruppdatera-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.argosHeader.telefonnummer",0,1,"",""
"kontaktuppgifteruppdatera-request.argosHeader.requestId","kontaktuppgifteruppdatera-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.argosHeader.requestId",0,1,"",""
"kontaktuppgifteruppdatera-request.argosHeader.rollnamn","kontaktuppgifteruppdatera-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.argosHeader.rollnamn",0,1,"",""
"kontaktuppgifteruppdatera-request.argosHeader.hsaID","kontaktuppgifteruppdatera-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.argosHeader.hsaID",0,1,"",""
"kontaktuppgifteruppdatera-request.argosHeader.katalog","kontaktuppgifteruppdatera-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.argosHeader.katalog",0,1,"",""
"kontaktuppgifteruppdatera-request.argosHeader.organisationsnummer","kontaktuppgifteruppdatera-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.argosHeader.organisationsnummer",0,1,"",""
"kontaktuppgifteruppdatera-request.argosHeader.systemnamn","kontaktuppgifteruppdatera-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.argosHeader.systemnamn",0,1,"",""
"kontaktuppgifteruppdatera-request.argosHeader.systemversion","kontaktuppgifteruppdatera-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.argosHeader.systemversion",0,1,"",""
"kontaktuppgifteruppdatera-request.argosHeader.systemIp","kontaktuppgifteruppdatera-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.argosHeader.systemIp",0,1,"",""
"kontaktuppgifteruppdatera-request.epostadressServicedesk","kontaktuppgifteruppdatera-request.epostadressServicedesk","","","",1,1,"","","","string {[]} {[]}
","epostadressServicedesk","E-postadress till aktörens servicedesk","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.epostadressServicedesk",1,1,"",""
"kontaktuppgifteruppdatera-request.kontaktpersonLista","kontaktuppgifteruppdatera-request.kontaktpersonLista","","","",1,*,"","","","BackboneElement {[]} {[]}
","kontaktpersonLista","Kontaktpersoner. Minst en kontaktperson måste anges.","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.kontaktpersonLista",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"kontaktuppgifteruppdatera-request.kontaktpersonLista.id","kontaktuppgifteruppdatera-request.kontaktpersonLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"kontaktuppgifteruppdatera-request.kontaktpersonLista.extension","kontaktuppgifteruppdatera-request.kontaktpersonLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"kontaktuppgifteruppdatera-request.kontaktpersonLista.modifierExtension","kontaktuppgifteruppdatera-request.kontaktpersonLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"kontaktuppgifteruppdatera-request.kontaktpersonLista.befattning","kontaktuppgifteruppdatera-request.kontaktpersonLista.befattning","","","",1,1,"","","","string {[]} {[]}
","befattning","Kontaktpersonens befattning.","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.kontaktpersonLista.befattning",1,1,"",""
"kontaktuppgifteruppdatera-request.kontaktpersonLista.efternamn","kontaktuppgifteruppdatera-request.kontaktpersonLista.efternamn","","","",1,1,"","","","string {[]} {[]}
","efternamn","Efternamn på kontaktperson hos aktören.","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.kontaktpersonLista.efternamn",1,1,"",""
"kontaktuppgifteruppdatera-request.kontaktpersonLista.epostadress","kontaktuppgifteruppdatera-request.kontaktpersonLista.epostadress","","","",1,1,"","","","string {[]} {[]}
","epostadress","Kontaktpersonens e-postadress","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.kontaktpersonLista.epostadress",1,1,"",""
"kontaktuppgifteruppdatera-request.kontaktpersonLista.fornamn","kontaktuppgifteruppdatera-request.kontaktpersonLista.fornamn","","","",1,1,"","","","string {[]} {[]}
","fornamn","Förnamn på kontaktperson hos aktören.","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.kontaktpersonLista.fornamn",1,1,"",""
"kontaktuppgifteruppdatera-request.kontaktpersonLista.telefonnummer","kontaktuppgifteruppdatera-request.kontaktpersonLista.telefonnummer","","","",1,1,"","","","string {[]} {[]}
","telefonnummer","Kontaktpersonens telefonnummer.","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.kontaktpersonLista.telefonnummer",1,1,"",""
"kontaktuppgifteruppdatera-request.orgNr","kontaktuppgifteruppdatera-request.orgNr","","","",1,1,"","","","string {[]} {[]}
","orgNr","Aktörens organisationsnummer (xs:long i schemat.)","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.orgNr",1,1,"",""
"kontaktuppgifteruppdatera-request.telefonnummerServicedesk","kontaktuppgifteruppdatera-request.telefonnummerServicedesk","","","",1,1,"","","","string {[]} {[]}
","telefonnummerServicedesk","Telefonnummer till aktörens servicedesk","","","","","","","","","",,,,,"",,,,"kontaktuppgifteruppdatera-request.telefonnummerServicedesk",1,1,"",""
