"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"sokdosmottagare.resultat.apotek.apoteksinformationLista.id","sokdosmottagare.resultat.apotek.apoteksinformationLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"sokdosmottagare.resultat.apotek.apoteksinformationLista.extension","sokdosmottagare.resultat.apotek.apoteksinformationLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"sokdosmottagare.resultat.apotek.apoteksinformationLista.modifierExtension","sokdosmottagare.resultat.apotek.apoteksinformationLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"sokdosmottagare.resultat.apotek.apoteksinformationLista.aktorsnamn","sokdosmottagare.resultat.apotek.apoteksinformationLista.aktorsnamn","","","",0,1,"","","","string {[]} {[]}
","aktorsnamn","Officiellt namn för aktör","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.apotek.apoteksinformationLista.aktorsnamn",0,1,"",""
"sokdosmottagare.resultat.apotek.apoteksinformationLista.aktorsorgnr","sokdosmottagare.resultat.apotek.apoteksinformationLista.aktorsorgnr","","","",0,1,"","","","string {[]} {[]}
","aktorsorgnr","Aktörens organisationsnummer. (xs:long i schemat.)","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.apotek.apoteksinformationLista.aktorsorgnr",0,1,"",""
"sokdosmottagare.resultat.apotek.apoteksinformationLista.allmantelefon","sokdosmottagare.resultat.apotek.apoteksinformationLista.allmantelefon","","","",0,1,"","","","string {[]} {[]}
","allmantelefon","Telefonnummer för allmänheten","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.apotek.apoteksinformationLista.allmantelefon",0,1,"",""
"sokdosmottagare.resultat.apotek.apoteksinformationLista.besoksadress","sokdosmottagare.resultat.apotek.apoteksinformationLista.besoksadress","","","",0,1,"","","","string {[]} {[]}
","besoksadress","Expeditionsställets besöksadress","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.apotek.apoteksinformationLista.besoksadress",0,1,"",""
"sokdosmottagare.resultat.apotek.apoteksinformationLista.eReceptDjur","sokdosmottagare.resultat.apotek.apoteksinformationLista.eReceptDjur","","","",1,1,"","","","boolean {[]} {[]}
","eReceptDjur","Markering gällande om apoteket kan expediera elektroniska djurrecept.","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.apotek.apoteksinformationLista.eReceptDjur",1,1,"",""
"sokdosmottagare.resultat.apotek.apoteksinformationLista.fax","sokdosmottagare.resultat.apotek.apoteksinformationLista.fax","","","",0,1,"","","","string {[]} {[]}
","fax","Expeditionsställets faxnummer","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.apotek.apoteksinformationLista.fax",0,1,"",""
"sokdosmottagare.resultat.apotek.apoteksinformationLista.glnKod","sokdosmottagare.resultat.apotek.apoteksinformationLista.glnKod","","","",1,1,"","","","string {[]} {[]}
","glnKod","Expeditionsställets GLN-kod","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.apotek.apoteksinformationLista.glnKod",1,1,"",""
"sokdosmottagare.resultat.apotek.apoteksinformationLista.huvudtypkod","sokdosmottagare.resultat.apotek.apoteksinformationLista.huvudtypkod","","","",0,1,"","","","string {[]} {[]}
","huvudtypkod","Kod som beskriver huvudverksamheten för expeditionsstället","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.apotek.apoteksinformationLista.huvudtypkod",0,1,"",""
"sokdosmottagare.resultat.apotek.apoteksinformationLista.namn","sokdosmottagare.resultat.apotek.apoteksinformationLista.namn","","","",0,1,"","","","string {[]} {[]}
","namn","Expeditionsställets officiella namn","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.apotek.apoteksinformationLista.namn",0,1,"",""
"sokdosmottagare.resultat.apotek.apoteksinformationLista.ort","sokdosmottagare.resultat.apotek.apoteksinformationLista.ort","","","",0,1,"","","","string {[]} {[]}
","ort","Expeditionsställets besöksort","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.apotek.apoteksinformationLista.ort",0,1,"",""
"sokdosmottagare.resultat.apotek.apoteksinformationLista.slutdatum","sokdosmottagare.resultat.apotek.apoteksinformationLista.slutdatum","","","",0,1,"","","","dateTime {[]} {[]}
","slutdatum","Datum för stängning av verksamhet","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.apotek.apoteksinformationLista.slutdatum",0,1,"",""
"sokdosmottagare.resultat.apotek.apoteksinformationLista.startdatum","sokdosmottagare.resultat.apotek.apoteksinformationLista.startdatum","","","",1,1,"","","","dateTime {[]} {[]}
","startdatum","Datum för start av verksamhet","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.apotek.apoteksinformationLista.startdatum",1,1,"",""
"sokdosmottagare.resultat.dosmottagare","sokdosmottagare.resultat.dosmottagare","","","",0,*,"","","","BackboneElement {[]} {[]}
","dosmottagare","dosmottagare","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.dosmottagare",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"sokdosmottagare.resultat.dosmottagare.id","sokdosmottagare.resultat.dosmottagare.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"sokdosmottagare.resultat.dosmottagare.extension","sokdosmottagare.resultat.dosmottagare.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"sokdosmottagare.resultat.dosmottagare.modifierExtension","sokdosmottagare.resultat.dosmottagare.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"sokdosmottagare.resultat.dosmottagare.adress","sokdosmottagare.resultat.dosmottagare.adress","","","",0,1,"","","","string {[]} {[]}
","adress","Adress till dosmottagare. Obligatorisk om typ = 'D'.","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.dosmottagare.adress",0,1,"",""
"sokdosmottagare.resultat.dosmottagare.apoteksIdDosmottagare","sokdosmottagare.resultat.dosmottagare.apoteksIdDosmottagare","","","",0,1,"","","","string {[]} {[]}
","apoteksIdDosmottagare","Apoteks-id för dosmottagare om dosmottagare är av typen apotek.","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.dosmottagare.apoteksIdDosmottagare",0,1,"",""
"sokdosmottagare.resultat.dosmottagare.arbetsplatskod","sokdosmottagare.resultat.dosmottagare.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","Arbetsplatskod till dosmottagare. Är aktuellt om dosmottagare t ex är en distriktsläkarmottagning.","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.dosmottagare.arbetsplatskod",0,1,"",""
"sokdosmottagare.resultat.dosmottagare.avdelning","sokdosmottagare.resultat.dosmottagare.avdelning","","","",0,1,"","","","string {[]} {[]}
","avdelning","Avdelning inom dosmottagare.","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.dosmottagare.avdelning",0,1,"",""
"sokdosmottagare.resultat.dosmottagare.dosmottagarId","sokdosmottagare.resultat.dosmottagare.dosmottagarId","","","",1,1,"","","","string {[]} {[]}
","dosmottagarId","Dosmottagarens identitet, dosproducentens identitet för dosmottagaren t ex kundnummer, GLN-kod. Unikt inom dosapoteket.","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.dosmottagare.dosmottagarId",1,1,"",""
"sokdosmottagare.resultat.dosmottagare.kommunkod","sokdosmottagare.resultat.dosmottagare.kommunkod","","","",0,1,"","","","string {[]} {[]}
","kommunkod","Kommunkod till vilken dosmottagarens tillhör. Kod enligt SCB.","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.dosmottagare.kommunkod",0,1,"",""
"sokdosmottagare.resultat.dosmottagare.lanskod","sokdosmottagare.resultat.dosmottagare.lanskod","","","",0,1,"","","","string {[]} {[]}
","lanskod","Länskod till vilken dosmottagaren tillhör. Kod enligt SCB.","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.dosmottagare.lanskod",0,1,"",""
"sokdosmottagare.resultat.dosmottagare.mottagarnamn","sokdosmottagare.resultat.dosmottagare.mottagarnamn","","","",1,1,"","","","string {[]} {[]}
","mottagarnamn","Namn på dosmottagare.","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.dosmottagare.mottagarnamn",1,1,"",""
"sokdosmottagare.resultat.dosmottagare.postnummer","sokdosmottagare.resultat.dosmottagare.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","Postnummer till dosmottagare.","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.dosmottagare.postnummer",0,1,"",""
"sokdosmottagare.resultat.dosmottagare.postort","sokdosmottagare.resultat.dosmottagare.postort","","","",0,1,"","","","string {[]} {[]}
","postort","Arbetsplatsort till dosmottagare. Obligatorisk om typ = 'D'.","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.dosmottagare.postort",0,1,"",""
"sokdosmottagare.resultat.dosmottagare.typ","sokdosmottagare.resultat.dosmottagare.typ","","","",1,1,"","","","string {[]} {[]}
","typ","Typ av dosmottagare, kan antingen vara Apotek (där dospatienterna kan hämta sina dosleveranser) eller direktleverans, t ex vårdboende, distriktssköterska. Giltiga värden: D (direktleverans) eller A (apotek).","","","","","","","","","",,,,,"",,,,"sokdosmottagare.resultat.dosmottagare.typ",1,1,"",""
