"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaapoteksinfo-request","hamtaapoteksinfo-request","hamtaapoteksinfo-request","","","",0,*,"","","","null {[]} {[]}
","HamtaApoteksInfo — Request","Logisk modell för begäran i HamtaApoteksInfo
(urn:riv:se.apotekensservice:expo:HamtaApoteksInfoResponder:1, HamtaApoteksInfoRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaapoteksinfo-request","hamtaapoteksinfo-request.argosHeader.befattningskod","hamtaapoteksinfo-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","befattningskod","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo-request.argosHeader.befattningskod",0,1,"",""
"hamtaapoteksinfo-request","hamtaapoteksinfo-request.argosHeader.arbetsplatskod","hamtaapoteksinfo-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo-request.argosHeader.arbetsplatskod",0,1,"",""
"hamtaapoteksinfo-request","hamtaapoteksinfo-request.argosHeader.arbetsplatsnamn","hamtaapoteksinfo-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo-request.argosHeader.arbetsplatsnamn",0,1,"",""
"hamtaapoteksinfo-request","hamtaapoteksinfo-request.argosHeader.postort","hamtaapoteksinfo-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo-request.argosHeader.postort",0,1,"",""
"hamtaapoteksinfo-request","hamtaapoteksinfo-request.argosHeader.postadress","hamtaapoteksinfo-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo-request.argosHeader.postadress",0,1,"",""
"hamtaapoteksinfo-request","hamtaapoteksinfo-request.argosHeader.postnummer","hamtaapoteksinfo-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo-request.argosHeader.postnummer",0,1,"",""
"hamtaapoteksinfo-request","hamtaapoteksinfo-request.argosHeader.telefonnummer","hamtaapoteksinfo-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo-request.argosHeader.telefonnummer",0,1,"",""
"hamtaapoteksinfo-request","hamtaapoteksinfo-request.argosHeader.requestId","hamtaapoteksinfo-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo-request.argosHeader.requestId",0,1,"",""
"hamtaapoteksinfo-request","hamtaapoteksinfo-request.argosHeader.rollnamn","hamtaapoteksinfo-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo-request.argosHeader.rollnamn",0,1,"",""
"hamtaapoteksinfo-request","hamtaapoteksinfo-request.argosHeader.hsaID","hamtaapoteksinfo-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo-request.argosHeader.hsaID",0,1,"",""
"hamtaapoteksinfo-request","hamtaapoteksinfo-request.argosHeader.katalog","hamtaapoteksinfo-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo-request.argosHeader.katalog",0,1,"",""
"hamtaapoteksinfo-request","hamtaapoteksinfo-request.argosHeader.organisationsnummer","hamtaapoteksinfo-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo-request.argosHeader.organisationsnummer",0,1,"",""
"hamtaapoteksinfo-request","hamtaapoteksinfo-request.argosHeader.systemnamn","hamtaapoteksinfo-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo-request.argosHeader.systemnamn",0,1,"",""
"hamtaapoteksinfo-request","hamtaapoteksinfo-request.argosHeader.systemversion","hamtaapoteksinfo-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo-request.argosHeader.systemversion",0,1,"",""
"hamtaapoteksinfo-request","hamtaapoteksinfo-request.argosHeader.systemIp","hamtaapoteksinfo-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo-request.argosHeader.systemIp",0,1,"",""
"hamtaapoteksinfo-request","hamtaapoteksinfo-request.glnKod","hamtaapoteksinfo-request.glnKod","","","",1,*,"","","","string {[]} {[]}
","glnKod","Lista med en eller flera GLN-koder som identifierar de expeditionsställen man vill ha information om. GLN-koderna i listan ska vara unika.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo-request.glnKod",1,*,"",""
"hamtaapoteksinfo-request","hamtaapoteksinfo-request.tidpunkt","hamtaapoteksinfo-request.tidpunkt","","","",0,1,"","","","dateTime {[]} {[]}
","tidpunkt","Om givet så returneras information som gällde vid tidpunkten, annars aktuell information.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo-request.tidpunkt",0,1,"",""
"hamtaapoteksinfo","hamtaapoteksinfo","hamtaapoteksinfo","","","",0,*,"","","","null {[]} {[]}
","HamtaApoteksInfo — Response","Logisk modell för svaret i HamtaApoteksInfo
(urn:riv:se.apotekensservice:expo:HamtaApoteksInfoResponder:1, HamtaApoteksInfoResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaapoteksinfo","hamtaapoteksinfo.apoteksinformationLista","hamtaapoteksinfo.apoteksinformationLista","","","",1,*,"","","","BackboneElement {[]} {[]}
","apoteksinformationLista","Lista innehållande ett eller flera Apoteksinformation.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo.apoteksinformationLista",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaapoteksinfo","hamtaapoteksinfo.apoteksinformationLista.id","hamtaapoteksinfo.apoteksinformationLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaapoteksinfo","hamtaapoteksinfo.apoteksinformationLista.extension","hamtaapoteksinfo.apoteksinformationLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaapoteksinfo","hamtaapoteksinfo.apoteksinformationLista.modifierExtension","hamtaapoteksinfo.apoteksinformationLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaapoteksinfo","hamtaapoteksinfo.apoteksinformationLista.aktorsnamn","hamtaapoteksinfo.apoteksinformationLista.aktorsnamn","","","",0,1,"","","","string {[]} {[]}
","aktorsnamn","Officiellt namn för aktör","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo.apoteksinformationLista.aktorsnamn",0,1,"",""
"hamtaapoteksinfo","hamtaapoteksinfo.apoteksinformationLista.aktorsorgnr","hamtaapoteksinfo.apoteksinformationLista.aktorsorgnr","","","",0,1,"","","","string {[]} {[]}
","aktorsorgnr","Aktörens organisationsnummer. (xs:long i schemat.)","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo.apoteksinformationLista.aktorsorgnr",0,1,"",""
"hamtaapoteksinfo","hamtaapoteksinfo.apoteksinformationLista.allmantelefon","hamtaapoteksinfo.apoteksinformationLista.allmantelefon","","","",0,1,"","","","string {[]} {[]}
","allmantelefon","Telefonnummer för allmänheten","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo.apoteksinformationLista.allmantelefon",0,1,"",""
"hamtaapoteksinfo","hamtaapoteksinfo.apoteksinformationLista.besoksadress","hamtaapoteksinfo.apoteksinformationLista.besoksadress","","","",0,1,"","","","string {[]} {[]}
","besoksadress","Expeditionsställets besöksadress","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo.apoteksinformationLista.besoksadress",0,1,"",""
"hamtaapoteksinfo","hamtaapoteksinfo.apoteksinformationLista.eReceptDjur","hamtaapoteksinfo.apoteksinformationLista.eReceptDjur","","","",1,1,"","","","boolean {[]} {[]}
","eReceptDjur","Markering gällande om apoteket kan expediera elektroniska djurrecept.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo.apoteksinformationLista.eReceptDjur",1,1,"",""
"hamtaapoteksinfo","hamtaapoteksinfo.apoteksinformationLista.fax","hamtaapoteksinfo.apoteksinformationLista.fax","","","",0,1,"","","","string {[]} {[]}
","fax","Expeditionsställets faxnummer","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo.apoteksinformationLista.fax",0,1,"",""
"hamtaapoteksinfo","hamtaapoteksinfo.apoteksinformationLista.glnKod","hamtaapoteksinfo.apoteksinformationLista.glnKod","","","",1,1,"","","","string {[]} {[]}
","glnKod","Expeditionsställets GLN-kod","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo.apoteksinformationLista.glnKod",1,1,"",""
"hamtaapoteksinfo","hamtaapoteksinfo.apoteksinformationLista.huvudtypkod","hamtaapoteksinfo.apoteksinformationLista.huvudtypkod","","","",0,1,"","","","string {[]} {[]}
","huvudtypkod","Kod som beskriver huvudverksamheten för expeditionsstället","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo.apoteksinformationLista.huvudtypkod",0,1,"",""
"hamtaapoteksinfo","hamtaapoteksinfo.apoteksinformationLista.namn","hamtaapoteksinfo.apoteksinformationLista.namn","","","",0,1,"","","","string {[]} {[]}
","namn","Expeditionsställets officiella namn","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo.apoteksinformationLista.namn",0,1,"",""
"hamtaapoteksinfo","hamtaapoteksinfo.apoteksinformationLista.ort","hamtaapoteksinfo.apoteksinformationLista.ort","","","",0,1,"","","","string {[]} {[]}
","ort","Expeditionsställets besöksort","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo.apoteksinformationLista.ort",0,1,"",""
"hamtaapoteksinfo","hamtaapoteksinfo.apoteksinformationLista.slutdatum","hamtaapoteksinfo.apoteksinformationLista.slutdatum","","","",0,1,"","","","dateTime {[]} {[]}
","slutdatum","Datum för stängning av verksamhet","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo.apoteksinformationLista.slutdatum",0,1,"",""
"hamtaapoteksinfo","hamtaapoteksinfo.apoteksinformationLista.startdatum","hamtaapoteksinfo.apoteksinformationLista.startdatum","","","",1,1,"","","","dateTime {[]} {[]}
","startdatum","Datum för start av verksamhet","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfo.apoteksinformationLista.startdatum",1,1,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request","","","",0,*,"","","","null {[]} {[]}
","HamtaApoteksinfoEget — Request","Logisk modell för begäran i HamtaApoteksinfoEget
(urn:riv:se.apotekensservice:expo:HamtaApoteksinfoEgetResponder:5, HamtaApoteksinfoEgetRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.logicalAddress","hamtaapoteksinfoeget-request.logicalAddress","","","",1,1,"","","","string {[]} {[]}
","logicalAddress","SOAP-huvud LogicalAddress. Orgnr of Apotekens Service AB","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.logicalAddress",1,1,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader","hamtaapoteksinfoeget-request.argosHeader","","","",1,1,"","","","BackboneElement {[]} {[]}
","argosHeader","SOAP-huvud ArgosHeader. Argos header of Apotekens Service AB. Check documentation regarding mandatory fields for this specific service interaction","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.id","hamtaapoteksinfoeget-request.argosHeader.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.extension","hamtaapoteksinfoeget-request.argosHeader.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.modifierExtension","hamtaapoteksinfoeget-request.argosHeader.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.forskrivarkod","hamtaapoteksinfoeget-request.argosHeader.forskrivarkod","","","",0,1,"","","","string {[]} {[]}
","forskrivarkod","forskrivarkod","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.forskrivarkod",0,1,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.legitimationskod","hamtaapoteksinfoeget-request.argosHeader.legitimationskod","","","",0,1,"","","","string {[]} {[]}
","legitimationskod","legitimationskod","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.legitimationskod",0,1,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.fornamn","hamtaapoteksinfoeget-request.argosHeader.fornamn","","","",0,1,"","","","string {[]} {[]}
","fornamn","fornamn","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.fornamn",0,1,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.efternamn","hamtaapoteksinfoeget-request.argosHeader.efternamn","","","",0,1,"","","","string {[]} {[]}
","efternamn","efternamn","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.efternamn",0,1,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.yrkesgrupp","hamtaapoteksinfoeget-request.argosHeader.yrkesgrupp","","","",0,1,"","","","string {[]} {[]}
","yrkesgrupp","yrkesgrupp","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.yrkesgrupp",0,1,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.befattningskod","hamtaapoteksinfoeget-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","befattningskod","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.befattningskod",0,1,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.arbetsplatskod","hamtaapoteksinfoeget-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.arbetsplatskod",0,1,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.arbetsplatsnamn","hamtaapoteksinfoeget-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.arbetsplatsnamn",0,1,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.postort","hamtaapoteksinfoeget-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.postort",0,1,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.postadress","hamtaapoteksinfoeget-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.postadress",0,1,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.postnummer","hamtaapoteksinfoeget-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.postnummer",0,1,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.telefonnummer","hamtaapoteksinfoeget-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.telefonnummer",0,1,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.requestId","hamtaapoteksinfoeget-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.requestId",0,1,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.rollnamn","hamtaapoteksinfoeget-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.rollnamn",0,1,"",""
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request.argosHeader.hsaID","hamtaapoteksinfoeget-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.hsaID",0,1,"",""
