"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaapoteksinfoeget-request","hamtaapoteksinfoeget-request","","","",0,*,"","","","null {[]} {[]}
","HamtaApoteksinfoEget — Request","Logisk modell för begäran i HamtaApoteksinfoEget
(urn:riv:se.apotekensservice:expo:HamtaApoteksinfoEgetResponder:5, HamtaApoteksinfoEgetRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaapoteksinfoeget-request.argosHeader.befattningskod","hamtaapoteksinfoeget-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","befattningskod","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.befattningskod",0,1,"",""
"hamtaapoteksinfoeget-request.argosHeader.arbetsplatskod","hamtaapoteksinfoeget-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.arbetsplatskod",0,1,"",""
"hamtaapoteksinfoeget-request.argosHeader.arbetsplatsnamn","hamtaapoteksinfoeget-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.arbetsplatsnamn",0,1,"",""
"hamtaapoteksinfoeget-request.argosHeader.postort","hamtaapoteksinfoeget-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.postort",0,1,"",""
"hamtaapoteksinfoeget-request.argosHeader.postadress","hamtaapoteksinfoeget-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.postadress",0,1,"",""
"hamtaapoteksinfoeget-request.argosHeader.postnummer","hamtaapoteksinfoeget-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.postnummer",0,1,"",""
"hamtaapoteksinfoeget-request.argosHeader.telefonnummer","hamtaapoteksinfoeget-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.telefonnummer",0,1,"",""
"hamtaapoteksinfoeget-request.argosHeader.requestId","hamtaapoteksinfoeget-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.requestId",0,1,"",""
"hamtaapoteksinfoeget-request.argosHeader.rollnamn","hamtaapoteksinfoeget-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.rollnamn",0,1,"",""
"hamtaapoteksinfoeget-request.argosHeader.hsaID","hamtaapoteksinfoeget-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.hsaID",0,1,"",""
"hamtaapoteksinfoeget-request.argosHeader.katalog","hamtaapoteksinfoeget-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.katalog",0,1,"",""
"hamtaapoteksinfoeget-request.argosHeader.organisationsnummer","hamtaapoteksinfoeget-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.organisationsnummer",0,1,"",""
"hamtaapoteksinfoeget-request.argosHeader.systemnamn","hamtaapoteksinfoeget-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.systemnamn",0,1,"",""
"hamtaapoteksinfoeget-request.argosHeader.systemversion","hamtaapoteksinfoeget-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.systemversion",0,1,"",""
"hamtaapoteksinfoeget-request.argosHeader.systemIp","hamtaapoteksinfoeget-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.argosHeader.systemIp",0,1,"",""
"hamtaapoteksinfoeget-request.apoteksId","hamtaapoteksinfoeget-request.apoteksId","","","",0,1,"","","","string {[]} {[]}
","apoteksId","GLN-kod för unik identifiering av apotek. Obligatorisk parameter om org-nr saknas som indata.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.apoteksId",0,1,"",""
"hamtaapoteksinfoeget-request.orgNr","hamtaapoteksinfoeget-request.orgNr","","","",0,1,"","","","string {[]} {[]}
","orgNr","Organisationsnummer. Obligatorisk parameter om Apoteks-id saknas som indata. (xs:long i schemat.)","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget-request.orgNr",0,1,"",""
