"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaapoteksinfoeget","hamtaapoteksinfoeget","","","",0,*,"","","","null {[]} {[]}
","HamtaApoteksinfoEget — Response","Logisk modell för svaret i HamtaApoteksinfoEget
(urn:riv:se.apotekensservice:expo:HamtaApoteksinfoEgetResponder:5, HamtaApoteksinfoEgetResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.modifierExtension","hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.adress","hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.adress","","","",0,1,"","","","string {[]} {[]}
","adress","Adress till dosmottagare. Obligatorisk om typ = 'D'.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.adress",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.apoteksIdDosmottagare","hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.apoteksIdDosmottagare","","","",0,1,"","","","string {[]} {[]}
","apoteksIdDosmottagare","Apoteks-id för dosmottagare om dosmottagare är av typen apotek.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.apoteksIdDosmottagare",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.arbetsplatskod","hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","Arbetsplatskod till dosmottagare. Är aktuellt om dosmottagare t ex är en distriktsläkarmottagning.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.arbetsplatskod",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.avdelning","hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.avdelning","","","",0,1,"","","","string {[]} {[]}
","avdelning","Avdelning inom dosmottagare.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.avdelning",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.dosmottagarId","hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.dosmottagarId","","","",1,1,"","","","string {[]} {[]}
","dosmottagarId","Dosmottagarens identitet, dosproducentens identitet för dosmottagaren t ex kundnummer, GLN-kod. Unikt inom dosapoteket.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.dosmottagarId",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.kommunkod","hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.kommunkod","","","",0,1,"","","","string {[]} {[]}
","kommunkod","Kommunkod till vilken dosmottagarens tillhör. Kod enligt SCB.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.kommunkod",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.lanskod","hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.lanskod","","","",0,1,"","","","string {[]} {[]}
","lanskod","Länskod till vilken dosmottagaren tillhör. Kod enligt SCB.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.lanskod",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.mottagarnamn","hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.mottagarnamn","","","",1,1,"","","","string {[]} {[]}
","mottagarnamn","Namn på dosmottagare.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.mottagarnamn",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.postnummer","hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","Postnummer till dosmottagare.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.postnummer",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.postort","hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.postort","","","",0,1,"","","","string {[]} {[]}
","postort","Arbetsplatsort till dosmottagare. Obligatorisk om typ = 'D'.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.postort",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.typ","hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.typ","","","",1,1,"","","","string {[]} {[]}
","typ","Typ av dosmottagare, kan antingen vara Apotek (där dospatienterna kan hämta sina dosleveranser) eller direktleverans, t ex vårdboende, distriktssköterska. Giltiga värden: D (direktleverans) eller A (apotek).","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.dosmottagareLista.typ",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.eRecept","hamtaapoteksinfoeget.expeditionsstalleLista.eRecept","","","",1,1,"","","","boolean {[]} {[]}
","eRecept","Flagga som anger om expeditionsstället är ett apotek som kan hantera e-recept för besökande privat personer.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.eRecept",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.eReceptDjur","hamtaapoteksinfoeget.expeditionsstalleLista.eReceptDjur","","","",1,1,"","","","boolean {[]} {[]}
","eReceptDjur","Markering gällande om apoteket kan expediera elektroniska djurrecept.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.eReceptDjur",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.faxnummer","hamtaapoteksinfoeget.expeditionsstalleLista.faxnummer","","","",0,1,"","","","string {[]} {[]}
","faxnummer","Expeditionsställets faxnummer.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.faxnummer",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.huvudOrgTypKod","hamtaapoteksinfoeget.expeditionsstalleLista.huvudOrgTypKod","","","",0,1,"","","","string {[]} {[]}
","huvudOrgTypKod","Möjliga värden: ADM, AP, DIAP, DJUR, DX, OAP, SA, TVAP ADM En organisatiorisk enhet inom ett företag som har rent administrativa uppgifter. AP Apotek för allmänheten - enhet för detaljhandel med läkemedel med farmaceutisk bemanning under öppethållandet. DIAP Distansapotek - Större apoteksenhet med ansvar att kunna distribuera apoteksvaror direkt till avtalskunder, apoteksombud eller privatpersoner DJUR Ett apotek som har utökat djursortiment. DX Dosapotek - enhet för produktion av dosdispenserade läkemedel. OAP Övriga apotek - gammal definition av apotek. Bör ej användas. SA Sjukhusapotek - apotek som ger service till slutenvårdsenheter TVAP Enhet som på beställning tillverkar specifika individanpassade läkemedel.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.huvudOrgTypKod",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.kommun","hamtaapoteksinfoeget.expeditionsstalleLista.kommun","","","",1,1,"","","","integer {[]} {[]}
","kommun","Expeditionsställets kommuntillhörighet, kod enligt SCB.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.kommun",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.kortNamn","hamtaapoteksinfoeget.expeditionsstalleLista.kortNamn","","","",0,1,"","","","string {[]} {[]}
","kortNamn","Kortversion på apoteksnamn. Behövs i bla i vårdsystem.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.kortNamn",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.lan","hamtaapoteksinfoeget.expeditionsstalleLista.lan","","","",1,1,"","","","integer {[]} {[]}
","lan","Expeditionsställets länstillhörighet, kod enligt SCB.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.lan",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.namn","hamtaapoteksinfoeget.expeditionsstalleLista.namn","","","",1,1,"","","","string {[]} {[]}
","namn","Expeditionsställets officiella namn.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.namn",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista","hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista","","","",0,*,"","","","BackboneElement {[]} {[]}
","oppetHallandeLista","När expeditionsstället har öppet.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.id","hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.extension","hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.modifierExtension","hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.dagBenamning","hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.dagBenamning","","","",0,1,"","","","string {[]} {[]}
","dagBenamning","Exempelvis ""Nyårsafton"".","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.dagBenamning",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.lunchFrom","hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.lunchFrom","","","",0,1,"","","","string {[]} {[]}
","lunchFrom","Om lunchstängt, ""stänger för lunch"". Format: HHmm H=Timme (0-24) m=Minut","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.lunchFrom",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.lunchTom","hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.lunchTom","","","",0,1,"","","","string {[]} {[]}
","lunchTom","Om lunchstängt, ""Öppnar igen efter lunch kl"". Format: HHmm H=Timme (0-24) m=Minut","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.lunchTom",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.oppnar","hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.oppnar","","","",0,1,"","","","string {[]} {[]}
","oppnar","Öppningstid vardagar/vekodagnr. Format: HHmm H=Timme (0-24) m=Minut","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.oppnar",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.slutDatum","hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.slutDatum","","","",0,1,"","","","dateTime {[]} {[]}
","slutDatum","Sista dagen i en period vid typ N, P eller S. Obligatorisk vid typ P, S eller D. Om typ D är slutdatum = startdatum.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.slutDatum",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.stanger","hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.stanger","","","",0,1,"","","","string {[]} {[]}
","stanger","Stängningstid vardagar/vekodagnr. Format: HHmm H=Timme (0-24) m=Minut","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.stanger",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.startDatum","hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.startDatum","","","",1,1,"","","","dateTime {[]} {[]}
","startDatum","Första dagen i en period vid typ N, P eller S. Vid typ D anges datum för aktuell dag exv 2010-12-24.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.startDatum",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.tfStangtOrsak","hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.tfStangtOrsak","","","",0,1,"","","","string {[]} {[]}
","tfStangtOrsak","Orsak till tillfällig stängning.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.tfStangtOrsak",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.typ","hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.typ","","","",1,1,"","","","string {[]} {[]}
","typ","Typ av öppethållande. N = Normalt P = avvikande under angiven period D = avvikande under angiven dag S = tillfälligt stängt under angiven period","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.typ",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.veckodagnr","hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.veckodagnr","","","",0,1,"","","","string {[]} {[]}
","veckodagnr","Ett nummer för veckodagen 1-7 för Måndag till Söndag, V för vardagar.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.oppetHallandeLista.veckodagnr",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.orgNr","hamtaapoteksinfoeget.expeditionsstalleLista.orgNr","","","",1,1,"","","","string {[]} {[]}
","orgNr","Aktörens organisationsnummer (xs:long i schemat.)","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.orgNr",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypADM","hamtaapoteksinfoeget.expeditionsstalleLista.orgTypADM","","","",1,1,"","","","boolean {[]} {[]}
","orgTypADM","Kod ADM som beskriver typ av expeditionsställe. En organisatiorisk enhet inom ett företag som har rent administrativa uppgifter.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypADM",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypDIST","hamtaapoteksinfoeget.expeditionsstalleLista.orgTypDIST","","","",1,1,"","","","boolean {[]} {[]}
","orgTypDIST","Kod DIST som beskriver typ av expeditionsställe. Distansapotek - Större apoteksenhet med ansvar att kunna distribuera apoteksvaror direkt till avtalskunder, apoteksombud eller privatpersoner","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypDIST",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypDJAP","hamtaapoteksinfoeget.expeditionsstalleLista.orgTypDJAP","","","",1,1,"","","","boolean {[]} {[]}
","orgTypDJAP","Kod DJAP som beskriver typ av expeditionsställe. Ett apotek som har utökat djursortiment.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypDJAP",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypDOS","hamtaapoteksinfoeget.expeditionsstalleLista.orgTypDOS","","","",1,1,"","","","boolean {[]} {[]}
","orgTypDOS","Kod DOS som beskriver typ av expeditionsställe. Dosapotek - enhet för produktion av dosdispenserade läkemedel.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypDOS",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypEA","hamtaapoteksinfoeget.expeditionsstalleLista.orgTypEA","","","",1,1,"","","","boolean {[]} {[]}
","orgTypEA","Kod EA som beskriver typ av expeditionsställe. Apotek för allmänheten - enhet för detaljhandel med läkemedel med farmaceutisk bemanning under öppethållandet.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypEA",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypEH","hamtaapoteksinfoeget.expeditionsstalleLista.orgTypEH","","","",1,1,"","","","boolean {[]} {[]}
","orgTypEH","Kod EH som beskriver typ av expeditionsställe. En enhet som som kan lämna ut e-handel, dit man kan skicka e-handelspacket.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypEH",1,1,"",""
