"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"receiveehrextract-request","receiveehrextract-request","","","",0,*,"","","","null {[]} {[]}
","ReceiveEhrExtract — Request","Logisk modell för begäran i ReceiveEhrExtract
(urn:riv:ehr:patientsummary:ReceiveEhrExtractResponder:1, ReceiveEhrExtractType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"receiveehrextract-request.ehr-extract.all-compositions","receiveehrextract-request.ehr_extract.all_compositions","","","",0,*,"","","","BackboneElement {[]} {[]}
","all_compositions","Key aggregation class representing the set of Record Components authored and committed during a single clinical encounter. Note the values for territory will indicate the legal framework under which the data was committed. The session_time should be a restriction on the data types of low and high to make them TS, but this restriction is not permissible in XML Schema and thus the IVL properties are simply copied here with the appropriate types.","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"receiveehrextract-request.ehr-extract.all-compositions.id","receiveehrextract-request.ehr_extract.all_compositions.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.extension","receiveehrextract-request.ehr_extract.all_compositions.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.modifierExtension","receiveehrextract-request.ehr_extract.all_compositions.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.archetype-id","receiveehrextract-request.ehr_extract.all_compositions.archetype_id","","","",0,1,"","","","string {[]} {[]}
","archetype_id","archetype_id","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.archetype_id",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.meaning","receiveehrextract-request.ehr_extract.all_compositions.meaning","","","",0,1,"","","","CodeableConcept {[]} {[]}
","meaning","meaning","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.meaning",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.compositionName","receiveehrextract-request.ehr_extract.all_compositions.compositionName","","","",1,1,"","","","string {[]} {[]}
","compositionName","compositionName Heter name i schemat.","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.compositionName",1,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.orig-parent-ref","receiveehrextract-request.ehr_extract.all_compositions.orig_parent_ref","","","",0,1,"","","","Identifier {[]} {[]}
","orig_parent_ref","orig_parent_ref","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.orig_parent_ref",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.policy-ids","receiveehrextract-request.ehr_extract.all_compositions.policy_ids","","","",0,*,"","","","Identifier {[]} {[]}
","policy_ids","policy_ids","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.policy_ids",0,*,"",""
"receiveehrextract-request.ehr-extract.all-compositions.rc-id","receiveehrextract-request.ehr_extract.all_compositions.rc_id","","","",1,1,"","","","Identifier {[]} {[]}
","rc_id","rc_id","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.rc_id",1,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.sensitivity","receiveehrextract-request.ehr_extract.all_compositions.sensitivity","","","",0,1,"","","","integer {[]} {[]}
","sensitivity","sensitivity","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.sensitivity",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.synthesised","receiveehrextract-request.ehr_extract.all_compositions.synthesised","","","",1,1,"","","","boolean {[]} {[]}
","synthesised","synthesised","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.synthesised",1,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.links","receiveehrextract-request.ehr_extract.all_compositions.links","","","",0,*,"","","","BackboneElement {[]} {[]}
","links","Creates a relationship between two Record Components that is orthogonal to the common one of containment. Note that if a recipient is not permitted to see the component linked to, even revealing the link constitutes an inappropriate disclosure. Role is of type CD so that the displayName property of that class can be used in place of any specific coding scheme.","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.links",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"receiveehrextract-request.ehr-extract.all-compositions.links.id","receiveehrextract-request.ehr_extract.all_compositions.links.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.links.extension","receiveehrextract-request.ehr_extract.all_compositions.links.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.links.modifierExtension","receiveehrextract-request.ehr_extract.all_compositions.links.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.links.follow-link","receiveehrextract-request.ehr_extract.all_compositions.links.follow_link","","","",1,1,"","","","boolean {[]} {[]}
","follow_link","follow_link","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.links.follow_link",1,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.links.nature","receiveehrextract-request.ehr_extract.all_compositions.links.nature","","","",1,1,"","","","code {[]} {[]}
","nature","nature","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.links.nature",1,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.links.role","receiveehrextract-request.ehr_extract.all_compositions.links.role","","","",0,1,"","","","CodeableConcept {[]} {[]}
","role","role","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.links.role",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.links.target-type","receiveehrextract-request.ehr_extract.all_compositions.links.target_type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","target_type","target_type","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.links.target_type",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.links.target-id","receiveehrextract-request.ehr_extract.all_compositions.links.target_id","","","",1,*,"","","","Identifier {[]} {[]}
","target_id","target_id","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.links.target_id",1,*,"",""
"receiveehrextract-request.ehr-extract.all-compositions.feeder-audit","receiveehrextract-request.ehr_extract.all_compositions.feeder_audit","","","",0,1,"","","","BackboneElement {[]} {[]}
","feeder_audit","The committal and revision data for a Record Component. Note that the invariant is incorrectly stated as constraining ""attribute_version_status.coding_scheme_name"" in the printed standard.","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.feeder_audit",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"receiveehrextract-request.ehr-extract.all-compositions.feeder-audit.id","receiveehrextract-request.ehr_extract.all_compositions.feeder_audit.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.feeder-audit.extension","receiveehrextract-request.ehr_extract.all_compositions.feeder_audit.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.feeder-audit.modifierExtension","receiveehrextract-request.ehr_extract.all_compositions.feeder_audit.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.feeder-audit.committer","receiveehrextract-request.ehr_extract.all_compositions.feeder_audit.committer","","","",1,1,"","","","Identifier {[]} {[]}
","committer","committer","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.feeder_audit.committer",1,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.feeder-audit.ehr-system","receiveehrextract-request.ehr_extract.all_compositions.feeder_audit.ehr_system","","","",1,1,"","","","Identifier {[]} {[]}
","ehr_system","ehr_system","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.feeder_audit.ehr_system",1,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.feeder-audit.previous-version","receiveehrextract-request.ehr_extract.all_compositions.feeder_audit.previous_version","","","",0,1,"","","","Identifier {[]} {[]}
","previous_version","previous_version","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.feeder_audit.previous_version",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.feeder-audit.reason-for-revision","receiveehrextract-request.ehr_extract.all_compositions.feeder_audit.reason_for_revision","","","",0,1,"","","","CodeableConcept {[]} {[]}
","reason_for_revision","reason_for_revision","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.feeder_audit.reason_for_revision",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.feeder-audit.time-committed","receiveehrextract-request.ehr_extract.all_compositions.feeder_audit.time_committed","","","",1,1,"","","","dateTime {[]} {[]}
","time_committed","time_committed","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.feeder_audit.time_committed",1,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.feeder-audit.version-set-id","receiveehrextract-request.ehr_extract.all_compositions.feeder_audit.version_set_id","","","",0,1,"","","","Identifier {[]} {[]}
","version_set_id","version_set_id","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.feeder_audit.version_set_id",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.feeder-audit.version-status","receiveehrextract-request.ehr_extract.all_compositions.feeder_audit.version_status","","","",0,1,"","","","code {[]} {[]}
","version_status","version_status","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.feeder_audit.version_status",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.contribution-id","receiveehrextract-request.ehr_extract.all_compositions.contribution_id","","","",0,1,"","","","Identifier {[]} {[]}
","contribution_id","contribution_id","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.contribution_id",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.session-time","receiveehrextract-request.ehr_extract.all_compositions.session_time","","","",0,1,"","","","Period {[]} {[]}
","session_time","session_time","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.session_time",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.territory","receiveehrextract-request.ehr_extract.all_compositions.territory","","","",0,1,"","","","code {[]} {[]}
","territory","territory","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.territory",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.attestations","receiveehrextract-request.ehr_extract.all_compositions.attestations","","","",0,*,"","","","BackboneElement {[]} {[]}
","attestations","Any attestations for a Record Component. The proof field should be a cryptographic hash of the RECORD_COMPONENT it attests, but it is recognised that in many implementations the components will change to point to new components that revise them. In that case, the proof should sign the unchanging parts of the component only.","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.attestations",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"receiveehrextract-request.ehr-extract.all-compositions.attestations.id","receiveehrextract-request.ehr_extract.all_compositions.attestations.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.attestations.extension","receiveehrextract-request.ehr_extract.all_compositions.attestations.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.attestations.modifierExtension","receiveehrextract-request.ehr_extract.all_compositions.attestations.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.attestations.attested-view","receiveehrextract-request.ehr_extract.all_compositions.attestations.attested_view","","","",0,1,"","","","Attachment {[]} {[]}
","attested_view","attested_view","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.attestations.attested_view",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.attestations.proof","receiveehrextract-request.ehr_extract.all_compositions.attestations.proof","","","",0,1,"","","","Attachment {[]} {[]}
","proof","proof","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.attestations.proof",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.attestations.reason-for-attestation","receiveehrextract-request.ehr_extract.all_compositions.attestations.reason_for_attestation","","","",1,1,"","","","CodeableConcept {[]} {[]}
","reason_for_attestation","reason_for_attestation","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.attestations.reason_for_attestation",1,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.attestations.time","receiveehrextract-request.ehr_extract.all_compositions.attestations.time","","","",1,1,"","","","dateTime {[]} {[]}
","time","time","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.attestations.time",1,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.attestations.target-rc-id","receiveehrextract-request.ehr_extract.all_compositions.attestations.target_rc_id","","","",1,*,"","","","Identifier {[]} {[]}
","target_rc_id","target_rc_id","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.attestations.target_rc_id",1,*,"",""
"receiveehrextract-request.ehr-extract.all-compositions.attestations.attester","receiveehrextract-request.ehr_extract.all_compositions.attestations.attester","","","",1,1,"","","","BackboneElement {[]} {[]}
","attester","The participation of an entity in the EHR.","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.attestations.attester",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"receiveehrextract-request.ehr-extract.all-compositions.attestations.attester.id","receiveehrextract-request.ehr_extract.all_compositions.attestations.attester.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
