"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getdiagnosinformation-request","getdiagnosinformation-request","getdiagnosinformation-request","","","",0,*,"","","","null {[]} {[]}
","GetDiagnosInformation — Request","Logisk modell för requestparametrar i GetDiagnosInformation.
(RIV-TA urn:riv:processmanagement:decisionsupport:insurancemedicinedecisionsupport:GetDiagnosInformation:1).
Anges ej parametern diagnosKod returneras diagnosinformation för alla diagnoskoder.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getdiagnosinformation-request","getdiagnosinformation-request.diagnosKod","getdiagnosinformation-request.diagnosKod","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Diagnoskod för filtrering av diagnosinformation","Anger om endast diagnosinformation skall hämtas för en eller ett antal diagnoskoder.
Anges ej parametern returneras diagnosinformation för alla diagnoskoder.","","","","","","","","","",,,,,"",,,,"getdiagnosinformation-request.diagnosKod",0,*,"",""
"getdiagnosinformation-request","getdiagnosinformation-request.avenEjAktiva","getdiagnosinformation-request.avenEjAktiva","","","",0,1,"","","","boolean {[]} {[]}
","Anger om även inaktiv diagnosinformation skall hämtas","Anger om även ej aktiv diagnosinformation skall hämtas.
Anges ej villkoret returneras endast aktiva.","","","","","","","","","",,,,,"",,,,"getdiagnosinformation-request.avenEjAktiva",0,1,"",""
"getdiagnosinformation","getdiagnosinformation","getdiagnosinformation","","","",0,*,"","","","null {[]} {[]}
","GetDiagnosInformation","Logisk modell för tjänstekontraktet GetDiagnosInformation
(RIV-TA urn:riv:processmanagement:decisionsupport:insurancemedicinedecisionsupport:GetDiagnosInformation:1).
Representerar responsens informationsstruktur — generell information om diagnoser.
Sådan information kan gälla för en eller flera diagnoser samtidigt.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getdiagnosinformation","getdiagnosinformation.diagnosInformation","getdiagnosinformation.diagnosInformation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Diagnosinformation","Diagnosinformation","","","","","","","","","",,,,,"",,,,"getdiagnosinformation.diagnosInformation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getdiagnosinformation","getdiagnosinformation.diagnosInformation.id","getdiagnosinformation.diagnosInformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getdiagnosinformation","getdiagnosinformation.diagnosInformation.extension","getdiagnosinformation.diagnosInformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getdiagnosinformation","getdiagnosinformation.diagnosInformation.modifierExtension","getdiagnosinformation.diagnosInformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getdiagnosinformation","getdiagnosinformation.diagnosInformation.informationsId","getdiagnosinformation.diagnosInformation.informationsId","","","",1,1,"","","","Identifier {[]} {[]}
","Identitet för diagnosinformationen","Identitet för diagnosinformationen","","","","","","","","","",,,,,"",,,,"getdiagnosinformation.diagnosInformation.informationsId",1,1,"",""
"getdiagnosinformation","getdiagnosinformation.diagnosInformation.giltighetsTidStart","getdiagnosinformation.diagnosInformation.giltighetsTidStart","","","",1,1,"","","","date {[]} {[]}
","Giltighetstid — starttid","Starttiden i intervallet skall alltid anges.","","","","","","","","","",,,,,"",,,,"getdiagnosinformation.diagnosInformation.giltighetsTidStart",1,1,"",""
