"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaaktuellaordinationer-request","hamtaaktuellaordinationer-request","","","",0,*,"","","","null {[]} {[]}
","HamtaAktuellaOrdinationer — Request","Logisk modell för begäran i HamtaAktuellaOrdinationer
(urn:riv:se.apotekensservice:or:HamtaAktuellaOrdinationerResponder:5, HamtaAktuellaOrdinationerRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaaktuellaordinationer-request.argosHeader.befattningskod","hamtaaktuellaordinationer-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","befattningskod","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.argosHeader.befattningskod",0,1,"",""
"hamtaaktuellaordinationer-request.argosHeader.arbetsplatskod","hamtaaktuellaordinationer-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.argosHeader.arbetsplatskod",0,1,"",""
"hamtaaktuellaordinationer-request.argosHeader.arbetsplatsnamn","hamtaaktuellaordinationer-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.argosHeader.arbetsplatsnamn",0,1,"",""
"hamtaaktuellaordinationer-request.argosHeader.postort","hamtaaktuellaordinationer-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.argosHeader.postort",0,1,"",""
"hamtaaktuellaordinationer-request.argosHeader.postadress","hamtaaktuellaordinationer-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.argosHeader.postadress",0,1,"",""
"hamtaaktuellaordinationer-request.argosHeader.postnummer","hamtaaktuellaordinationer-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.argosHeader.postnummer",0,1,"",""
"hamtaaktuellaordinationer-request.argosHeader.telefonnummer","hamtaaktuellaordinationer-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.argosHeader.telefonnummer",0,1,"",""
"hamtaaktuellaordinationer-request.argosHeader.requestId","hamtaaktuellaordinationer-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.argosHeader.requestId",0,1,"",""
"hamtaaktuellaordinationer-request.argosHeader.rollnamn","hamtaaktuellaordinationer-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.argosHeader.rollnamn",0,1,"",""
"hamtaaktuellaordinationer-request.argosHeader.directoryID","hamtaaktuellaordinationer-request.argosHeader.directoryID","","","",0,1,"","","","string {[]} {[]}
","directoryID","directoryID","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.argosHeader.directoryID",0,1,"",""
"hamtaaktuellaordinationer-request.argosHeader.hsaID","hamtaaktuellaordinationer-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.argosHeader.hsaID",0,1,"",""
"hamtaaktuellaordinationer-request.argosHeader.katalog","hamtaaktuellaordinationer-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.argosHeader.katalog",0,1,"",""
"hamtaaktuellaordinationer-request.argosHeader.organisationsnummer","hamtaaktuellaordinationer-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.argosHeader.organisationsnummer",0,1,"",""
"hamtaaktuellaordinationer-request.argosHeader.systemnamn","hamtaaktuellaordinationer-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.argosHeader.systemnamn",0,1,"",""
"hamtaaktuellaordinationer-request.argosHeader.systemversion","hamtaaktuellaordinationer-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.argosHeader.systemversion",0,1,"",""
"hamtaaktuellaordinationer-request.argosHeader.systemIp","hamtaaktuellaordinationer-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.argosHeader.systemIp",0,1,"",""
"hamtaaktuellaordinationer-request.personnummer","hamtaaktuellaordinationer-request.personnummer","","","",1,1,"","","","string {[]} {[]}
","personnummer","Giltigt personnummer för patient.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.personnummer",1,1,"",""
"hamtaaktuellaordinationer-request.ordinationsId","hamtaaktuellaordinationer-request.ordinationsId","","","",0,1,"","","","string {[]} {[]}
","ordinationsId","OrdinationsId. Anges om bara en ordination ska returneras.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.ordinationsId",0,1,"",""
"hamtaaktuellaordinationer-request.grupplegitimationskod","hamtaaktuellaordinationer-request.grupplegitimationskod","","","",0,1,"","","","string {[]} {[]}
","grupplegitimationskod","Användarens 6-ställiga grupplegitimationskod. Obligatorisk för Apotekselev, receptarieelev, Teknikerelev och Europeisk farmaceut.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.grupplegitimationskod",0,1,"",""
"hamtaaktuellaordinationer-request.gruppforskrivarkod","hamtaaktuellaordinationer-request.gruppforskrivarkod","","","",0,1,"","","","string {[]} {[]}
","gruppforskrivarkod","Gruppförskrivarkod används då förskrivaren saknar individuell förskrivarkod men har via sin roll erhållit förskrivningsrätt. Kan exempelvis vara en AT-läkare eller förskrivare med förordnande. Förskrivarkoden definieras av Socialstyrelsen och gruppförskrivarkoden definieras av eHälsomyndigheten.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer-request.gruppforskrivarkod",0,1,"",""
