"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaickeaktuellaordinationer","hamtaickeaktuellaordinationer","","","",0,*,"","","","null {[]} {[]}
","HamtaIckeAktuellaOrdinationer — Response","Logisk modell för svaret i HamtaIckeAktuellaOrdinationer
(urn:riv:se.apotekensservice:or:HamtaIckeAktuellaOrdinationerResponder:6, HamtaIckeAktuellaOrdinationerResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaickeaktuellaordinationer.apoteksInformationLista.glnKod","hamtaickeaktuellaordinationer.apoteksInformationLista.glnKod","","","",1,1,"","","","string {[]} {[]}
","glnKod","Expeditionsställets GLN-kod","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.apoteksInformationLista.glnKod",1,1,"",""
"hamtaickeaktuellaordinationer.apoteksInformationLista.huvudtypkod","hamtaickeaktuellaordinationer.apoteksInformationLista.huvudtypkod","","","",0,1,"","","","string {[]} {[]}
","huvudtypkod","Kod som beskriver huvudverksamheten för expeditionsstället","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.apoteksInformationLista.huvudtypkod",0,1,"",""
"hamtaickeaktuellaordinationer.apoteksInformationLista.namn","hamtaickeaktuellaordinationer.apoteksInformationLista.namn","","","",0,1,"","","","string {[]} {[]}
","namn","Expeditionsställets officiella namn","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.apoteksInformationLista.namn",0,1,"",""
"hamtaickeaktuellaordinationer.apoteksInformationLista.ort","hamtaickeaktuellaordinationer.apoteksInformationLista.ort","","","",0,1,"","","","string {[]} {[]}
","ort","Expeditionsställets besöksort","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.apoteksInformationLista.ort",0,1,"",""
"hamtaickeaktuellaordinationer.apoteksInformationLista.registrerad","hamtaickeaktuellaordinationer.apoteksInformationLista.registrerad","","","",1,1,"","","","boolean {[]} {[]}
","registrerad","Anger om apoteket finns registrerat i EXPO. Om false så saknar alla fält utom glnKod värden.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.apoteksInformationLista.registrerad",1,1,"",""
"hamtaickeaktuellaordinationer.apoteksInformationLista.slutdatum","hamtaickeaktuellaordinationer.apoteksInformationLista.slutdatum","","","",0,1,"","","","dateTime {[]} {[]}
","slutdatum","Datum för stängning av verksamhet","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.apoteksInformationLista.slutdatum",0,1,"",""
"hamtaickeaktuellaordinationer.apoteksInformationLista.startdatum","hamtaickeaktuellaordinationer.apoteksInformationLista.startdatum","","","",0,1,"","","","dateTime {[]} {[]}
","startdatum","Datum för start av verksamhet","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.apoteksInformationLista.startdatum",0,1,"",""
"hamtaickeaktuellaordinationer.arbetsplatsInfoLista","hamtaickeaktuellaordinationer.arbetsplatsInfoLista","","","",0,*,"","","","BackboneElement {[]} {[]}
","arbetsplatsInfoLista","Lista med arbetsplatser därifrån förändringar utförts på ordinationerna.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.arbetsplatsInfoLista",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.id","hamtaickeaktuellaordinationer.arbetsplatsInfoLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.extension","hamtaickeaktuellaordinationer.arbetsplatsInfoLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.modifierExtension","hamtaickeaktuellaordinationer.arbetsplatsInfoLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.arbetsplatsNamn","hamtaickeaktuellaordinationer.arbetsplatsInfoLista.arbetsplatsNamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsNamn","ArbetsplatsNamn","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.arbetsplatsNamn",0,1,"",""
"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.arbetsplatsOrt","hamtaickeaktuellaordinationer.arbetsplatsInfoLista.arbetsplatsOrt","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsOrt","ArbetsplatsOrt","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.arbetsplatsOrt",0,1,"",""
"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.arbetsplatskod","hamtaickeaktuellaordinationer.arbetsplatsInfoLista.arbetsplatskod","","","",1,1,"","","","string {[]} {[]}
","arbetsplatskod","Arbetsplatskod","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.arbetsplatskod",1,1,"",""
"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.faxnummer","hamtaickeaktuellaordinationer.arbetsplatsInfoLista.faxnummer","","","",0,1,"","","","string {[]} {[]}
","faxnummer","Faxnummer","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.faxnummer",0,1,"",""
"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.giltigSlut","hamtaickeaktuellaordinationer.arbetsplatsInfoLista.giltigSlut","","","",0,1,"","","","dateTime {[]} {[]}
","giltigSlut","Slutdatum för arbetsplatsens giltighetsperiod.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.giltigSlut",0,1,"",""
"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.giltigStart","hamtaickeaktuellaordinationer.arbetsplatsInfoLista.giltigStart","","","",0,1,"","","","dateTime {[]} {[]}
","giltigStart","Startdatum för arbetsplatsens giltighetsperiod.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.giltigStart",0,1,"",""
"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.postadress","hamtaickeaktuellaordinationer.arbetsplatsInfoLista.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","Postadress","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.postadress",0,1,"",""
"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.postnummer","hamtaickeaktuellaordinationer.arbetsplatsInfoLista.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","Postnummer","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.postnummer",0,1,"",""
"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.registrerad","hamtaickeaktuellaordinationer.arbetsplatsInfoLista.registrerad","","","",1,1,"","","","boolean {[]} {[]}
","registrerad","Anger om arbetsplatsen finns registrerad i ARKO. Om false så saknar alla fält utom arbetsplatskod värden.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.registrerad",1,1,"",""
"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.telefonnummer1","hamtaickeaktuellaordinationer.arbetsplatsInfoLista.telefonnummer1","","","",0,1,"","","","string {[]} {[]}
","telefonnummer1","Telefonnummer 1","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.telefonnummer1",0,1,"",""
"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.telefonnummer2","hamtaickeaktuellaordinationer.arbetsplatsInfoLista.telefonnummer2","","","",0,1,"","","","string {[]} {[]}
","telefonnummer2","Telefonnummer 2","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.arbetsplatsInfoLista.telefonnummer2",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista","hamtaickeaktuellaordinationer.artikelLista","","","",0,*,"","","","BackboneElement {[]} {[]}
","artikelLista","Lista med artikelinformation för de varor som ingår i ordinationerna.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.artikelLista.id","hamtaickeaktuellaordinationer.artikelLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.extension","hamtaickeaktuellaordinationer.artikelLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.artikelLista.modifierExtension","hamtaickeaktuellaordinationer.artikelLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.artikelLista.alternativtAntalKlartext","hamtaickeaktuellaordinationer.artikelLista.alternativtAntalKlartext","","","",0,1,"","","","string {[]} {[]}
","alternativtAntalKlartext","Sammanslagning av multiplar, antal och alternativ enhet. Om alternativ enhet saknas för artikeln är detta fält tomt.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.alternativtAntalKlartext",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.antalKlartext","hamtaickeaktuellaordinationer.artikelLista.antalKlartext","","","",0,1,"","","","string {[]} {[]}
","antalKlartext","Sammanslagning av multiplar, antal och enhet på storleken.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.antalKlartext",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.artikelbenamning","hamtaickeaktuellaordinationer.artikelLista.artikelbenamning","","","",0,1,"","","","string {[]} {[]}
","artikelbenamning","Sammanfattande beskrivning på en artikel (läkemedelsnamn + läkemedelsform + styrka + styrkans enhet + företag vid behov) Förkortningar kan förekomma.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.artikelbenamning",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.atcKlartext","hamtaickeaktuellaordinationer.artikelLista.atcKlartext","","","",0,1,"","","","string {[]} {[]}
","atcKlartext","ATC-kod i klartext enligt lexikontabell. Språk anges på svenska (sv).","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.atcKlartext",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.atcKod","hamtaickeaktuellaordinationer.artikelLista.atcKod","","","",0,1,"","","","string {[]} {[]}
","atcKod","ATC-kod","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.atcKod",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.avregistreringsdatum","hamtaickeaktuellaordinationer.artikelLista.avregistreringsdatum","","","",0,1,"","","","dateTime {[]} {[]}
","avregistreringsdatum","Datum då artikeln blev avregistrerad.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.avregistreringsdatum",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.bestallningsstoppad","hamtaickeaktuellaordinationer.artikelLista.bestallningsstoppad","","","",0,1,"","","","boolean {[]} {[]}
","bestallningsstoppad","Markering om artikel enligt TLV är beställningsstoppad i gällande prisperiod.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.bestallningsstoppad",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.foregaendePrisperiodensvara","hamtaickeaktuellaordinationer.artikelLista.foregaendePrisperiodensvara","","","",0,1,"","","","boolean {[]} {[]}
","foregaendePrisperiodensvara","Markering som anger om artikeln var definierad som föregående prisperiodens vara.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.foregaendePrisperiodensvara",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.formansberattigad","hamtaickeaktuellaordinationer.artikelLista.formansberattigad","","","",0,1,"","","","boolean {[]} {[]}
","formansberattigad","Markering som visar om artikeln är förmånsberättigad enligt VARA, vilket beslutas av TLV.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.formansberattigad",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.forpackningsenhet","hamtaickeaktuellaordinationer.artikelLista.forpackningsenhet","","","",0,1,"","","","string {[]} {[]}
","forpackningsenhet","Enhet på förpackningsstorleken, i klartext. Returnerar den alternativa enheten om sådan finns angiven för artikeln. Språk anges på svenska (sv).","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.forpackningsenhet",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.forpackningsinnehall","hamtaickeaktuellaordinationer.artikelLista.forpackningsinnehall","","","",0,1,"","","","string {[]} {[]}
","forpackningsinnehall","Beskrivning av förpackning, innehåll och antal.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.forpackningsinnehall",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.forpackningsmangd","hamtaickeaktuellaordinationer.artikelLista.forpackningsmangd","","","",0,1,"","","","decimal {[]} {[]}
","forpackningsmangd","Totala mängden i förpackningen. Returnerar den alternativa förpackningsmängden om sådan finns angiven för artikeln.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.forpackningsmangd",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.forpackningstyp","hamtaickeaktuellaordinationer.artikelLista.forpackningstyp","","","",0,1,"","","","string {[]} {[]}
","forpackningstyp","Beskrivning av förpackningstyp för en artikel.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.forpackningstyp",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.forsaljningsstoppad","hamtaickeaktuellaordinationer.artikelLista.forsaljningsstoppad","","","",0,1,"","","","boolean {[]} {[]}
","forsaljningsstoppad","Markering som visar om artikeln inte längre får försäljas. Sant om antingen artikeln eller produkten är försäljningsstoppad.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.forsaljningsstoppad",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.forskrivningsratter","hamtaickeaktuellaordinationer.artikelLista.forskrivningsratter","","","",0,*,"","","","string {[]} {[]}
","forskrivningsratter","Lista med förskrivningsrätter för artikeln. Använder koder enligt NPL.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.forskrivningsratter",0,*,"",""
"hamtaickeaktuellaordinationer.artikelLista.forskrivningsrattsyrken","hamtaickeaktuellaordinationer.artikelLista.forskrivningsrattsyrken","","","",0,*,"","","","BackboneElement {[]} {[]}
","forskrivningsrattsyrken","Lista med yrken som har förskrivningsrätt för artikeln. Listan utvinns ur förskrivningsrättskoderna, översätts till tvåställiga yrkeskoder och klartexter. Varje yrke finns max en gång i listan.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.forskrivningsrattsyrken",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.artikelLista.forskrivningsrattsyrken.id","hamtaickeaktuellaordinationer.artikelLista.forskrivningsrattsyrken.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.forskrivningsrattsyrken.extension","hamtaickeaktuellaordinationer.artikelLista.forskrivningsrattsyrken.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.artikelLista.forskrivningsrattsyrken.modifierExtension","hamtaickeaktuellaordinationer.artikelLista.forskrivningsrattsyrken.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
