"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtapatientinfo-request","hamtapatientinfo-request","hamtapatientinfo-request","","","",0,*,"","","","null {[]} {[]}
","HamtaPatientInfo — Request","Logisk modell för begäran i HamtaPatientInfo
(urn:riv:se.apotekensservice:axs:HamtaPatientInfoResponder:6, HamtaPatientInfoRequestType),
inklusive de två SOAP-huvuden som WSDL:en kräver (LogicalAddress och ArgosHeader).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.logicalAddress","hamtapatientinfo-request.logicalAddress","","","",1,1,"","","","string {[]} {[]}
","Logisk adress","SOAP-huvud LogicalAddress (itintegration_registry_1.0.xsd). Enligt WSDL: organisationsnummer för Apotekens Service AB.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.logicalAddress",1,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader","hamtapatientinfo-request.argosHeader","","","",1,1,"","","","BackboneElement {[]} {[]}
","Argos-huvud","SOAP-huvud ArgosHeader (ArgosHeader_1.0.xsd). Enligt WSDL: se dokumentationen för vilka fält som är obligatoriska för just denna tjänsteinteraktion. Alla fält är 0..1 i schemat.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.id","hamtapatientinfo-request.argosHeader.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.extension","hamtapatientinfo-request.argosHeader.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.modifierExtension","hamtapatientinfo-request.argosHeader.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.forskrivarkod","hamtapatientinfo-request.argosHeader.forskrivarkod","","","",0,1,"","","","string {[]} {[]}
","Förskrivarkod","Förskrivarkod.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.forskrivarkod",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.legitimationskod","hamtapatientinfo-request.argosHeader.legitimationskod","","","",0,1,"","","","string {[]} {[]}
","Legitimationskod","Legitimationskod.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.legitimationskod",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.fornamn","hamtapatientinfo-request.argosHeader.fornamn","","","",0,1,"","","","string {[]} {[]}
","Förnamn","Användarens förnamn.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.fornamn",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.efternamn","hamtapatientinfo-request.argosHeader.efternamn","","","",0,1,"","","","string {[]} {[]}
","Efternamn","Användarens efternamn.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.efternamn",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.yrkesgrupp","hamtapatientinfo-request.argosHeader.yrkesgrupp","","","",0,1,"","","","string {[]} {[]}
","Yrkesgrupp","Yrkesgrupp.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.yrkesgrupp",0,1,"",""
