"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"gethealthcareunit","gethealthcareunit","","","",0,*,"","","","null {[]} {[]}
","GetHealthCareUnit","Logisk modell för tjänstekontraktet GetHealthCareUnit
(RIV-TA urn:riv:infrastructure:directory:organization:GetHealthCareUnit:2).
Representerar responsens informationsstruktur — vårdenhet med tillhörande organisatorisk information.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"gethealthcareunit.healthCareUnit","gethealthcareunit.healthCareUnit","","","",0,1,"","","","BackboneElement {[]} {[]}
","Svarsobjekt med vårdenhetsinformation","Aggregerat objekt med information om enheten, vårdenhet och vårdgivare.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"gethealthcareunit.healthCareUnit.id","gethealthcareunit.healthCareUnit.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"gethealthcareunit.healthCareUnit.extension","gethealthcareunit.healthCareUnit.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"gethealthcareunit.healthCareUnit.modifierExtension","gethealthcareunit.healthCareUnit.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"gethealthcareunit.healthCareUnit.healthCareUnitMemberHsaId","gethealthcareunit.healthCareUnit.healthCareUnitMemberHsaId","","","",0,1,"","","","string {[]} {[]}
","Enhetens (funktionens) HSA-id. Ref. hsaIdentity [R5].","Enhetens (funktionens) HSA-id. Ref. hsaIdentity [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.healthCareUnitMemberHsaId",0,1,"",""
"gethealthcareunit.healthCareUnit.healthCareUnitMemberName","gethealthcareunit.healthCareUnit.healthCareUnitMemberName","","","",0,1,"","","","string {[]} {[]}
","Enhetens (funktionens) namn. Ref. organisationsnamn (o), enhetsnamn (ou) resp. objektnamn (cn) [R5].","Enhetens (funktionens) namn. Ref. organisationsnamn (o), enhetsnamn (ou) resp. objektnamn (cn) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.healthCareUnitMemberName",0,1,"",""
"gethealthcareunit.healthCareUnit.healthCareUnitMemberPublicName","gethealthcareunit.healthCareUnit.healthCareUnitMemberPublicName","","","",0,1,"","","","string {[]} {[]}
","Publikt officiellt namn på enheten/funktionen.","Publikt officiellt namn på enheten/funktionen.","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.healthCareUnitMemberPublicName",0,1,"",""
"gethealthcareunit.healthCareUnit.healthCareUnitMemberStartDate","gethealthcareunit.healthCareUnit.healthCareUnitMemberStartDate","","","",0,1,"","","","dateTime {[]} {[]}
","Startdatum för enhetens (funktionens) verksamhet. Ref. startDate [R5].","Startdatum för enhetens (funktionens) verksamhet. Ref. startDate [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.healthCareUnitMemberStartDate",0,1,"",""
"gethealthcareunit.healthCareUnit.healthCareUnitMemberEndDate","gethealthcareunit.healthCareUnit.healthCareUnitMemberEndDate","","","",0,1,"","","","dateTime {[]} {[]}
","Slutdatum för enhetens (funktionens) verksamhet. Ref. endDate [R5].","Slutdatum för enhetens (funktionens) verksamhet. Ref. endDate [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.healthCareUnitMemberEndDate",0,1,"",""
"gethealthcareunit.healthCareUnit.healthCareUnitHsaId","gethealthcareunit.healthCareUnit.healthCareUnitHsaId","","","",1,1,"","","","string {[]} {[]}
","Vårdenhetens HSA-id. Ref. hsaIdentity [R5].","Vårdenhetens HSA-id. Ref. hsaIdentity [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.healthCareUnitHsaId",1,1,"",""
"gethealthcareunit.healthCareUnit.unitIsHealthCareUnit","gethealthcareunit.healthCareUnit.unitIsHealthCareUnit","","","",0,1,"","","","boolean {[]} {[]}
","True, om enheten (funktionen) själv är en vårdenhet. Ref. hjälpklassen Vårdenhet (hsaHealthCareUnit) [R5].","True, om enheten (funktionen) själv är en vårdenhet. Ref. hjälpklassen Vårdenhet (hsaHealthCareUnit) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.unitIsHealthCareUnit",0,1,"",""
"gethealthcareunit.healthCareUnit.healthCareUnitName","gethealthcareunit.healthCareUnit.healthCareUnitName","","","",1,1,"","","","string {[]} {[]}
","Vårdenhetens namn. Ref. organisationsnamn (o) resp. enhetsnamn (ou) [R5].","Vårdenhetens namn. Ref. organisationsnamn (o) resp. enhetsnamn (ou) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.healthCareUnitName",1,1,"",""
"gethealthcareunit.healthCareUnit.healthCareUnitPublicName","gethealthcareunit.healthCareUnit.healthCareUnitPublicName","","","",1,1,"","","","string {[]} {[]}
","Publikt officiellt namn på vårdenheten.","Publikt officiellt namn på vårdenheten.","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.healthCareUnitPublicName",1,1,"",""
"gethealthcareunit.healthCareUnit.healthCareUnitStartDate","gethealthcareunit.healthCareUnit.healthCareUnitStartDate","","","",0,1,"","","","dateTime {[]} {[]}
","Startdatum för vårdenhetens verksamhet. Ref. startDate [R5].","Startdatum för vårdenhetens verksamhet. Ref. startDate [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.healthCareUnitStartDate",0,1,"",""
"gethealthcareunit.healthCareUnit.healthCareUnitEndDate","gethealthcareunit.healthCareUnit.healthCareUnitEndDate","","","",0,1,"","","","dateTime {[]} {[]}
","Slutdatum för vårdenhetens verksamhet. Ref. endDate [R5].","Slutdatum för vårdenhetens verksamhet. Ref. endDate [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.healthCareUnitEndDate",0,1,"",""
"gethealthcareunit.healthCareUnit.healthCareProviderHsaId","gethealthcareunit.healthCareUnit.healthCareProviderHsaId","","","",1,1,"","","","string {[]} {[]}
","Vårdgivarens HSA-id. Ref. hsaIdentity [R5].","Vårdgivarens HSA-id. Ref. hsaIdentity [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.healthCareProviderHsaId",1,1,"",""
"gethealthcareunit.healthCareUnit.healthCareProviderName","gethealthcareunit.healthCareUnit.healthCareProviderName","","","",1,1,"","","","string {[]} {[]}
","Vårdgivarens namn. Ref. organisationsnamn (o) resp. enhetsnamn (ou) [R5].","Vårdgivarens namn. Ref. organisationsnamn (o) resp. enhetsnamn (ou) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.healthCareProviderName",1,1,"",""
"gethealthcareunit.healthCareUnit.healthCareProviderPublicName","gethealthcareunit.healthCareUnit.healthCareProviderPublicName","","","",1,1,"","","","string {[]} {[]}
","Publikt officiellt namn på vårdgivaren.","Publikt officiellt namn på vårdgivaren.","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.healthCareProviderPublicName",1,1,"",""
"gethealthcareunit.healthCareUnit.healthCareProviderOrgNo","gethealthcareunit.healthCareUnit.healthCareProviderOrgNo","","","",1,1,"","","","string {[]} {[]}
","Vårdgivarens organisationsnummer. Ref. orgNo [R5].","Vårdgivarens organisationsnummer. Ref. orgNo [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.healthCareProviderOrgNo",1,1,"",""
"gethealthcareunit.healthCareUnit.healthCareProviderStartDate","gethealthcareunit.healthCareUnit.healthCareProviderStartDate","","","",0,1,"","","","dateTime {[]} {[]}
","Startdatum för vårdgivarens verksamhet. Ref. startDate [R5].","Startdatum för vårdgivarens verksamhet. Ref. startDate [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.healthCareProviderStartDate",0,1,"",""
"gethealthcareunit.healthCareUnit.healthCareProviderEndDate","gethealthcareunit.healthCareUnit.healthCareProviderEndDate","","","",0,1,"","","","dateTime {[]} {[]}
","Slutdatum för vårdgivarens verksamhet. Ref. endDate [R5].","Slutdatum för vårdgivarens verksamhet. Ref. endDate [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.healthCareProviderEndDate",0,1,"",""
"gethealthcareunit.healthCareUnit.feignedHealthCareUnitMember","gethealthcareunit.healthCareUnit.feignedHealthCareUnitMember","","","",0,1,"","","","boolean {[]} {[]}
","true: om enheten är ett fingerat objekt. Ref. hjälpklassen Fingerat objekt (hsaFeignedObject) [R5].","true: om enheten är ett fingerat objekt. Ref. hjälpklassen Fingerat objekt (hsaFeignedObject) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.feignedHealthCareUnitMember",0,1,"",""
"gethealthcareunit.healthCareUnit.feignedHealthCareUnit","gethealthcareunit.healthCareUnit.feignedHealthCareUnit","","","",0,1,"","","","boolean {[]} {[]}
","true: om vårdenheten är ett fingerat objekt. Ref. hjälpklassen Fingerat objekt (hsaFeignedObject) [R5].","true: om vårdenheten är ett fingerat objekt. Ref. hjälpklassen Fingerat objekt (hsaFeignedObject) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.feignedHealthCareUnit",0,1,"",""
"gethealthcareunit.healthCareUnit.feignedHealthCareProvider","gethealthcareunit.healthCareUnit.feignedHealthCareProvider","","","",0,1,"","","","boolean {[]} {[]}
","true: om vårdgivaren är ett fingerat objekt. Ref. hjälpklassen Fingerat objekt (hsaFeignedObject) [R5].","true: om vårdgivaren är ett fingerat objekt. Ref. hjälpklassen Fingerat objekt (hsaFeignedObject) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.feignedHealthCareProvider",0,1,"",""
"gethealthcareunit.healthCareUnit.archivedHealthCareUnitMember","gethealthcareunit.healthCareUnit.archivedHealthCareUnitMember","","","",0,1,"","","","boolean {[]} {[]}
","true: om enheten är ett arkiverat objekt. Ref. hjälpklassen arkiverat objekt (hsaArchivedObject) [R5].","true: om enheten är ett arkiverat objekt. Ref. hjälpklassen arkiverat objekt (hsaArchivedObject) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.archivedHealthCareUnitMember",0,1,"",""
"gethealthcareunit.healthCareUnit.archivedHealthCareUnit","gethealthcareunit.healthCareUnit.archivedHealthCareUnit","","","",0,1,"","","","boolean {[]} {[]}
","true: om vårdenheten är ett arkiverat objekt. Ref. hjälpklassen arkiverat objekt (hsaArchivedObject) [R5].","true: om vårdenheten är ett arkiverat objekt. Ref. hjälpklassen arkiverat objekt (hsaArchivedObject) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.archivedHealthCareUnit",0,1,"",""
"gethealthcareunit.healthCareUnit.archivedHealthCareProvider","gethealthcareunit.healthCareUnit.archivedHealthCareProvider","","","",0,1,"","","","boolean {[]} {[]}
","true: om vårdgivaren är ett arkiverat objekt. Ref. hjälpklassen arkiverat objekt (hsaArchivedObject) [R5].","true: om vårdgivaren är ett arkiverat objekt. Ref. hjälpklassen arkiverat objekt (hsaArchivedObject) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.archivedHealthCareProvider",0,1,"",""
