"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getunit.unit.unitStartDate","getunit.unit.unitStartDate","","","",0,1,"","","","dateTime {[]} {[]}
","Startdatum för enhetens verksamhet. Ref. startDate [R5]. Profilattribut: *b.","Startdatum för enhetens verksamhet. Ref. startDate [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.unitStartDate",0,1,"",""
"getunit.unit.unitEndDate","getunit.unit.unitEndDate","","","",0,1,"","","","dateTime {[]} {[]}
","Slutdatum för enhetens verksamhet. Ref. endDate [R5]. Profilattribut: *b.","Slutdatum för enhetens verksamhet. Ref. endDate [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.unitEndDate",0,1,"",""
"getunit.unit.countyName","getunit.unit.countyName","","","",0,1,"","","","string {[]} {[]}
","Namn på län. Ref. länsnamn (countyName) [R5]. Profilattribut: *b.","Namn på län. Ref. länsnamn (countyName) [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.countyName",0,1,"",""
"getunit.unit.countyCode","getunit.unit.countyCode","","","",0,1,"","","","string {[]} {[]}
","Kod för län. Ref. länskod (countyCode) [R5]. Profilattribut: *b.","Kod för län. Ref. länskod (countyCode) [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.countyCode",0,1,"",""
"getunit.unit.municipalityName","getunit.unit.municipalityName","","","",0,1,"","","","string {[]} {[]}
","Namn på kommun. Ref. kommunnamn (municipalityName) [R5]. Profilattribut: *b.","Namn på kommun. Ref. kommunnamn (municipalityName) [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.municipalityName",0,1,"",""
"getunit.unit.municipalityCode","getunit.unit.municipalityCode","","","",0,1,"","","","string {[]} {[]}
","Kod för kommun. Ref. kommunkod (municipalityCode) [R5]. Profilattribut: *b.","Kod för kommun. Ref. kommunkod (municipalityCode) [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.municipalityCode",0,1,"",""
"getunit.unit.directoryContact","getunit.unit.directoryContact","","","",0,1,"","","","string {[]} {[]}
","Mailadress till ansvarig för informationen om enheten. Ref. hsaDirectoryContact [R5]. Profilattribut: *b.","Mailadress till ansvarig för informationen om enheten. Ref. hsaDirectoryContact [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.directoryContact",0,1,"",""
"getunit.unit.displayOption","getunit.unit.displayOption","","","",0,1,"","","","string {[]} {[]}
","Används för att beräkna enhetens publika namn (publicName). Ref. displayOption [R5]. Profilattribut: *b.","Används för att beräkna enhetens publika namn (publicName). Ref. displayOption [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.displayOption",0,1,"",""
"getunit.unit.location","getunit.unit.location","","","",0,1,"","","","string {[]} {[]}
","Namn på geografiskt område. Ref. geografisk plats (l, localityName) [R5]. Profilattribut: *b.","Namn på geografiskt område. Ref. geografisk plats (l, localityName) [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.location",0,1,"",""
"getunit.unit.mail","getunit.unit.mail","","","",0,1,"","","","string {[]} {[]}
","Mailadress till enheten. Ref. e-postadress (mail) [R5]. Profilattribut: *b.","Mailadress till enheten. Ref. e-postadress (mail) [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.mail",0,1,"",""
"getunit.unit.labeledUri","getunit.unit.labeledUri","","","",0,1,"","","","string {[]} {[]}
","Fullständig webbadress (inklusive http:// eller https://). Ref. webbadress (labeledURI) [R5]. Profilattribut: *b.","Fullständig webbadress (inklusive http:// eller https://). Ref. webbadress (labeledURI) [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.labeledUri",0,1,"",""
"getunit.unit.webPage1177","getunit.unit.webPage1177","","","",0,1,"","","","string {[]} {[]}
","Länk till Enhetens sida på 1177.se. Ref. hsaVpwWebPage [R5]. Profilattribut: *b.","Länk till Enhetens sida på 1177.se. Ref. hsaVpwWebPage [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.webPage1177",0,1,"",""
"getunit.unit.facsimileTelephoneNumber","getunit.unit.facsimileTelephoneNumber","","","",0,*,"","","","string {[]} {[]}
","Faxnummer till enheten. Ref. facsimileTelephoneNumber [R5]. Profilattribut: *b.","Faxnummer till enheten. Ref. facsimileTelephoneNumber [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.facsimileTelephoneNumber",0,*,"",""
"getunit.unit.telephoneNumber","getunit.unit.telephoneNumber","","","",0,*,"","","","string {[]} {[]}
","Publikt direkttelefonnummer. Ref. direkttelefon (telephoneNumber) [R5]. Profilattribut: *b.","Publikt direkttelefonnummer. Ref. direkttelefon (telephoneNumber) [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.telephoneNumber",0,*,"",""
"getunit.unit.textTelephoneNumber","getunit.unit.textTelephoneNumber","","","",0,*,"","","","string {[]} {[]}
","Adress till texttelefon. Ref. hsaTextTelephoneNumber [R5]. Profilattribut: *b.","Adress till texttelefon. Ref. hsaTextTelephoneNumber [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.textTelephoneNumber",0,*,"",""
"getunit.unit.switchboardNumber","getunit.unit.switchboardNumber","","","",0,1,"","","","string {[]} {[]}
","Telefonnummer till växel. Ref. hsaSwitchboardNumber [R5]. Profilattribut: *b.","Telefonnummer till växel. Ref. hsaSwitchboardNumber [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.switchboardNumber",0,1,"",""
"getunit.unit.videoPhone","getunit.unit.videoPhone","","","",0,1,"","","","string {[]} {[]}
","Adress för kommunikation via bildtelefon. Ref. hsaVideoPhone [R5]. Profilattribut: *b.","Adress för kommunikation via bildtelefon. Ref. hsaVideoPhone [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.videoPhone",0,1,"",""
"getunit.unit.referralRules","getunit.unit.referralRules","","","",0,1,"","","","string {[]} {[]}
","Beskrivning av remisskrav. Ref. hsaVisitingRuleReferral [R5]. Profilattribut: *b.","Beskrivning av remisskrav. Ref. hsaVisitingRuleReferral [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.referralRules",0,1,"",""
"getunit.unit.postalCode","getunit.unit.postalCode","","","",0,1,"","","","string {[]} {[]}
","Postnummer där verksamheten bedrivs. Ref. postalCode [R5]. Profilattribut: *b.","Postnummer där verksamheten bedrivs. Ref. postalCode [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.postalCode",0,1,"",""
"getunit.unit.feignedUnit","getunit.unit.feignedUnit","","","",0,1,"","","","boolean {[]} {[]}
","true: om enheten är ett fingerat objekt. Ref. hjälpklassen Fingerat objekt (hsaFeignedObject) [R5]. Profilattribut: *b.","true: om enheten är ett fingerat objekt. Ref. hjälpklassen Fingerat objekt (hsaFeignedObject) [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.feignedUnit",0,1,"",""
"getunit.unit.financingOrganization","getunit.unit.financingOrganization","","","",0,*,"","","","string {[]} {[]}
","Organisationsnummer för finansierande landsting/kommuner. Ref. financingOrganization [R5]. Profilattribut: *b.","Organisationsnummer för finansierande landsting/kommuner. Ref. financingOrganization [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.financingOrganization",0,*,"",""
"getunit.unit.postalAddress","getunit.unit.postalAddress","","","",0,1,"","","","BackboneElement {[]} {[]}
","Postadress i ostrukturerat format. Ref. postalAddress [R5]. Profilattribut: *b.","Postadress i ostrukturerat format. Ref. postalAddress [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.postalAddress",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getunit.unit.postalAddress.id","getunit.unit.postalAddress.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getunit.unit.postalAddress.extension","getunit.unit.postalAddress.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getunit.unit.postalAddress.modifierExtension","getunit.unit.postalAddress.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getunit.unit.postalAddress.addressLine","getunit.unit.postalAddress.addressLine","","","",1,*,"","","","string {[]} {[]}
","Adressrad.","Adressrad.","","","","","","","","","",,,,,"",,,,"getunit.unit.postalAddress.addressLine",1,*,"",""
"getunit.unit.structuredPostalAddress","getunit.unit.structuredPostalAddress","","","",0,1,"","","","BackboneElement {[]} {[]}
","Postadress i strukturerat format. Ref. Strukturerad postadress (hsaPostalAddress) [R5]. Profilattribut: *b.","Postadress i strukturerat format. Ref. Strukturerad postadress (hsaPostalAddress) [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.structuredPostalAddress",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getunit.unit.structuredPostalAddress.id","getunit.unit.structuredPostalAddress.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getunit.unit.structuredPostalAddress.extension","getunit.unit.structuredPostalAddress.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getunit.unit.structuredPostalAddress.modifierExtension","getunit.unit.structuredPostalAddress.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getunit.unit.structuredPostalAddress.addressee","getunit.unit.structuredPostalAddress.addressee","","","",1,*,"","","","string {[]} {[]}
","Adressat.","Adressat.","","","","","","","","","",,,,,"",,,,"getunit.unit.structuredPostalAddress.addressee",1,*,"",""
"getunit.unit.structuredPostalAddress.street","getunit.unit.structuredPostalAddress.street","","","",0,1,"","","","string {[]} {[]}
","Gata.","Gata.","","","","","","","","","",,,,,"",,,,"getunit.unit.structuredPostalAddress.street",0,1,"",""
"getunit.unit.structuredPostalAddress.premisesNumber","getunit.unit.structuredPostalAddress.premisesNumber","","","",0,1,"","","","string {[]} {[]}
","Adressplatsnummer.","Adressplatsnummer.","","","","","","","","","",,,,,"",,,,"getunit.unit.structuredPostalAddress.premisesNumber",0,1,"",""
"getunit.unit.structuredPostalAddress.premisesLetter","getunit.unit.structuredPostalAddress.premisesLetter","","","",0,1,"","","","string {[]} {[]}
","Adressplatslittera.","Adressplatslittera.","","","","","","","","","",,,,,"",,,,"getunit.unit.structuredPostalAddress.premisesLetter",0,1,"",""
"getunit.unit.structuredPostalAddress.postCode","getunit.unit.structuredPostalAddress.postCode","","","",1,1,"","","","string {[]} {[]}
","Postnummer.","Postnummer.","","","","","","","","","",,,,,"",,,,"getunit.unit.structuredPostalAddress.postCode",1,1,"",""
"getunit.unit.structuredPostalAddress.town","getunit.unit.structuredPostalAddress.town","","","",1,1,"","","","string {[]} {[]}
","Postort.","Postort.","","","","","","","","","",,,,,"",,,,"getunit.unit.structuredPostalAddress.town",1,1,"",""
"getunit.unit.telephoneHour","getunit.unit.telephoneHour","","","",0,*,"","","","BackboneElement {[]} {[]}
","Telefontider. Ref. telefontid (telephoneHours) [R5]. Profilattribut: *b.","Telefontider. Ref. telefontid (telephoneHours) [R5]. Profilattribut: *b.","","","","","","","","","",,,,,"",,,,"getunit.unit.telephoneHour",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getunit.unit.telephoneHour.id","getunit.unit.telephoneHour.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getunit.unit.telephoneHour.extension","getunit.unit.telephoneHour.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getunit.unit.telephoneHour.modifierExtension","getunit.unit.telephoneHour.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getunit.unit.telephoneHour.fromDay","getunit.unit.telephoneHour.fromDay","","","",1,1,"","","","string {[]} {[]}
","Från dag. Måndag (1) – Söndag (7).","Från dag. Måndag (1) – Söndag (7).","","","","","","","","","",,,,,"",,,,"getunit.unit.telephoneHour.fromDay",1,1,"",""
"getunit.unit.telephoneHour.fromTime","getunit.unit.telephoneHour.fromTime","","","",1,1,"","","","string {[]} {[]}
","Från tid. Format: HH:MM (ISO-8601).","Från tid. Format: HH:MM (ISO-8601).","","","","","","","","","",,,,,"",,,,"getunit.unit.telephoneHour.fromTime",1,1,"",""
"getunit.unit.telephoneHour.toDay","getunit.unit.telephoneHour.toDay","","","",1,1,"","","","string {[]} {[]}
","Till dag. Måndag (1) – Söndag (7).","Till dag. Måndag (1) – Söndag (7).","","","","","","","","","",,,,,"",,,,"getunit.unit.telephoneHour.toDay",1,1,"",""
"getunit.unit.telephoneHour.toTime","getunit.unit.telephoneHour.toTime","","","",1,1,"","","","string {[]} {[]}
","Till tid. Format: HH:MM (ISO-8601).","Till tid. Format: HH:MM (ISO-8601).","","","","","","","","","",,,,,"",,,,"getunit.unit.telephoneHour.toTime",1,1,"",""
"getunit.unit.telephoneHour.comment","getunit.unit.telephoneHour.comment","","","",0,1,"","","","string {[]} {[]}
","Information om aktuellt tidsintervall.","Information om aktuellt tidsintervall.","","","","","","","","","",,,,,"",,,,"getunit.unit.telephoneHour.comment",0,1,"",""
"getunit.unit.telephoneHour.fromDate","getunit.unit.telephoneHour.fromDate","","","",0,1,"","","","string {[]} {[]}
","Gäller från och med detta datum.","Gäller från och med detta datum.","","","","","","","","","",,,,,"",,,,"getunit.unit.telephoneHour.fromDate",0,1,"",""
"getunit.unit.telephoneHour.toDate","getunit.unit.telephoneHour.toDate","","","",0,1,"","","","string {[]} {[]}
","Gäller till och med detta datum.","Gäller till och med detta datum.","","","","","","","","","",,,,,"",,,,"getunit.unit.telephoneHour.toDate",0,1,"",""
"getunit.unit.businessClassification","getunit.unit.businessClassification","","","",0,*,"","","","BackboneElement {[]} {[]}
","Verksamhetskod. Ref. businessClassificationName, businessClassificationCode [R5]. Profilattribut: *e.","Verksamhetskod. Ref. businessClassificationName, businessClassificationCode [R5]. Profilattribut: *e.","","","","","","","","","",,,,,"",,,,"getunit.unit.businessClassification",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getunit.unit.businessClassification.id","getunit.unit.businessClassification.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getunit.unit.businessClassification.extension","getunit.unit.businessClassification.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
