"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"kontrollerasamtyckevardsystem-request","kontrollerasamtyckevardsystem-request","","","",0,*,"","","","null {[]} {[]}
","KontrolleraSamtyckeVardsystem — Request","Logisk modell för begäran i KontrolleraSamtyckeVardsystem
(urn:riv:se.apotekensservice:lf:KontrolleraSamtyckeVardsystemResponder:1, KontrolleraSamtyckeVardsystemRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"kontrollerasamtyckevardsystem-request.argosHeader.befattningskod","kontrollerasamtyckevardsystem-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","befattningskod","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.argosHeader.befattningskod",0,1,"",""
"kontrollerasamtyckevardsystem-request.argosHeader.arbetsplatskod","kontrollerasamtyckevardsystem-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.argosHeader.arbetsplatskod",0,1,"",""
"kontrollerasamtyckevardsystem-request.argosHeader.arbetsplatsnamn","kontrollerasamtyckevardsystem-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.argosHeader.arbetsplatsnamn",0,1,"",""
"kontrollerasamtyckevardsystem-request.argosHeader.postort","kontrollerasamtyckevardsystem-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.argosHeader.postort",0,1,"",""
"kontrollerasamtyckevardsystem-request.argosHeader.postadress","kontrollerasamtyckevardsystem-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.argosHeader.postadress",0,1,"",""
"kontrollerasamtyckevardsystem-request.argosHeader.postnummer","kontrollerasamtyckevardsystem-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.argosHeader.postnummer",0,1,"",""
"kontrollerasamtyckevardsystem-request.argosHeader.telefonnummer","kontrollerasamtyckevardsystem-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.argosHeader.telefonnummer",0,1,"",""
"kontrollerasamtyckevardsystem-request.argosHeader.requestId","kontrollerasamtyckevardsystem-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.argosHeader.requestId",0,1,"",""
"kontrollerasamtyckevardsystem-request.argosHeader.rollnamn","kontrollerasamtyckevardsystem-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.argosHeader.rollnamn",0,1,"",""
"kontrollerasamtyckevardsystem-request.argosHeader.hsaID","kontrollerasamtyckevardsystem-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.argosHeader.hsaID",0,1,"",""
"kontrollerasamtyckevardsystem-request.argosHeader.katalog","kontrollerasamtyckevardsystem-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.argosHeader.katalog",0,1,"",""
"kontrollerasamtyckevardsystem-request.argosHeader.organisationsnummer","kontrollerasamtyckevardsystem-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.argosHeader.organisationsnummer",0,1,"",""
"kontrollerasamtyckevardsystem-request.argosHeader.systemnamn","kontrollerasamtyckevardsystem-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.argosHeader.systemnamn",0,1,"",""
"kontrollerasamtyckevardsystem-request.argosHeader.systemversion","kontrollerasamtyckevardsystem-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.argosHeader.systemversion",0,1,"",""
"kontrollerasamtyckevardsystem-request.argosHeader.systemIp","kontrollerasamtyckevardsystem-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.argosHeader.systemIp",0,1,"",""
"kontrollerasamtyckevardsystem-request.klientinformation","kontrollerasamtyckevardsystem-request.klientinformation","","","",1,1,"","","","BackboneElement {[]} {[]}
","klientinformation","Information om anropande system.","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.klientinformation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"kontrollerasamtyckevardsystem-request.klientinformation.id","kontrollerasamtyckevardsystem-request.klientinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"kontrollerasamtyckevardsystem-request.klientinformation.extension","kontrollerasamtyckevardsystem-request.klientinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"kontrollerasamtyckevardsystem-request.klientinformation.modifierExtension","kontrollerasamtyckevardsystem-request.klientinformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"kontrollerasamtyckevardsystem-request.klientinformation.anvandare","kontrollerasamtyckevardsystem-request.klientinformation.anvandare","","","",1,1,"","","","string {[]} {[]}
","anvandare","Unikt användarid i anropande system.","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.klientinformation.anvandare",1,1,"",""
"kontrollerasamtyckevardsystem-request.klientinformation.session","kontrollerasamtyckevardsystem-request.klientinformation.session","","","",1,1,"","","","string {[]} {[]}
","session","Sessionens id i anropande system.","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.klientinformation.session",1,1,"",""
"kontrollerasamtyckevardsystem-request.klientinformation.system","kontrollerasamtyckevardsystem-request.klientinformation.system","","","",1,1,"","","","string {[]} {[]}
","system","GLN-kod för anropande system.","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.klientinformation.system",1,1,"",""
"kontrollerasamtyckevardsystem-request.samtyckesgivare","kontrollerasamtyckevardsystem-request.samtyckesgivare","","","",1,1,"","","","string {[]} {[]}
","samtyckesgivare","Giltigt personnummer för patient vars läkemedelsförteckning skall hämtas.","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.samtyckesgivare",1,1,"",""
"kontrollerasamtyckevardsystem-request.samtyckestagareForskrivarkod","kontrollerasamtyckevardsystem-request.samtyckestagareForskrivarkod","","","",1,1,"","","","string {[]} {[]}
","samtyckestagareForskrivarkod","Förskrivarkod för förskrivare vars samtycke ska kontrolleras. Ska vara identisk med användare i klientinformation. Valideras mot FORS.","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.samtyckestagareForskrivarkod",1,1,"",""
